partial charges,mulliken charges,cm5 charges,FUKUI+,FUKUI-,FUKUIrad,s proportion,p proportion,d proportion,Coordination numbers,Dispersion coefficient C6,Polarizability alpha,FOD,FOD s proportion,FOD p proportion,FOD d proportion,DBSTEP_Vbur,total energy,HOMO-LUMO gap/eV,electronic energy,Dipole module/D,Total charge,HOMO,LUMO,Fermi-level/eV,Total dispersion C6,Total dispersion C8,Total polarizability alpha,Total FOD,NHOHCount,FractionCSP3,NOCount,NumAliphaticRings,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,TPSA,MolLogP,Name
,,,,,,,,,,,,,,,,,-13.81704272,3.9634578300000003,-14.01812757,0.835,0,-10.6082,-6.6447,-8.6265,1571.242001,48618.480444,65.064392,0.054,0,0.0,0,0,1,1,0,1,0,0.0,1.748099999999999,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_5_rdkit_boltz
,,,,,,,,,,,,,,,,,-23.69712141,3.32049555,-24.05117096,1.3679999999999999,0,-10.7667,-7.4462,-9.1064,3805.100039,110856.989023,100.286085,0.1375,0,0.0,1,0,2,2,0,2,0,12.89,2.296299999999999,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_6_rdkit_boltz
,,,,,,,,,,,,,,,,,-19.13959712,4.94364843,-19.36621283,4.422,0,-10.644400000000001,-5.7007,-8.1726,1480.21567,32389.007372,57.257636,0.016,1,0.75,2,1,0,1,1,2,0,29.1,-0.10360000000000001,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_11_rdkit_boltz
,,,,,,,,,,,,,,,,,-15.769380071371316,5.203977633088607,-16.02447681224959,0.437867249998015,0,-10.726088744000192,-5.522158585000278,-8.124111399000231,1663.4545876635061,35736.27534439691,62.74152420446155,0.011349062000015,0,0.6000000000000001,0,0,0,0,0,0,3,0.0,1.9725000000000001,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_13_rdkit_boltz
,,,,,,,,,,,,,,,,,-14.54702303,6.95834804,-14.6925511,2.341,0,-11.0571,-4.0988,-7.578,1209.289616,31697.531744,52.161938,0.0018000000000000002,0,1.0,0,0,0,0,0,1,2,0.0,1.6336,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_16_rdkit_boltz
,,,,,,,,,,,,,,,,,-20.886611360501103,11.96627291188647,-21.13904535054801,2.006559538239072,0,-11.000825143624667,0.9654570924550511,-5.017634025584808,2125.6182954080878,43664.40929708509,68.07933922819493,0.0,1,1.0,1,0,0,1,1,1,5,20.23,1.0248,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_17_rdkit_boltz
,,,,,,,,,,,,,,,,,-20.39812851,3.98425867,-20.79299392,4.246,0,-11.5139,-7.5296,-9.5217,2515.571142,63231.38999,80.590663,0.0765,0,0.0,1,0,1,1,0,1,0,23.79,1.558279999999999,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_18_rdkit_boltz
0.36186848431642504,0.374590495867468,0.31502750342865804,-0.159964269387341,-0.10599106734683501,-0.13297766836708802,1.519995533673417,2.024,1.080995533673417,3.8989732020405072,145.15273557242278,21.64183251275316,0.018997766836708,0.003,0.007,0.008,59.232401600107615,-44.14040340360737,3.181561213387048,-44.53954847616705,2.462272041375967,0,-10.075950423774938,-6.894439298413037,-8.48514497275215,13102.592678698014,414451.65811453975,180.74912524798634,0.161481018112025,0,1.0,2,0,0,5,0,6,11,18.46,3.727700000000003,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_23_rdkit_boltz
,,,,,,,,,,,,,,,,,-39.10534342952275,3.611913014807643,-39.62863514738569,2.6665397001226703,0,-9.960320198353966,-6.34838669972566,-8.154363821246793,7013.452188497346,161812.94358826804,129.75191586057872,0.092377394551131,1,0.30000000000000004,3,0,1,2,1,3,5,38.33,2.0437,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_24_rdkit_boltz
,,,,,,,,,,,,,,,,,-27.212461171706067,12.26186902654971,-27.557197140236575,1.986401187007285,0,-11.075120134338066,1.186728841661166,-4.9441636576872785,3826.3593129154297,79152.69533164265,91.45246200973051,0.0,1,1.0,1,0,0,1,1,1,7,20.23,1.9491,/mnt/netapp1/Store_CSIC/home/csic/qoy/jar/test/QDESCP/boltz/mol_26_rdkit_boltz
