solvent,dG,beta,gamma,dielectric,dispersion,polar,hydrogen,sum,dipole,Sig2,sample,Set,dG_pred
toluene,0.03260064,0.14,40.2,2.3741,18.0,1.4,2.0,21.4,0.63,23.6,TEST,Training,0.4877785045954955
dodecane,1.449822769,0.0,35.85,2.006,16.1,0.0,0.0,16.1,0.0860386,13.2729,TRAIN,Training,0.5246634573983866
quinoline,1.295416763,0.64,61.3,9.0,5.6,19.8,5.7,31.1,3.2377,47.9,TRAIN,Training,1.2740538098437892
acetonitrile,0.67,0.32,41.25,35.688,15.3,18.0,6.1,39.4,5.1923,48.4,TRAIN,Training,0.5593481763288841
"1,4-dioxane",0.745981478,0.64,47.14,2.2099,17.5,1.8,8.0,27.3,0.0023,51.0,TRAIN,Training,0.9385379829587932
anisole,1.239358686,0.29,50.52,4.2247,17.8,4.1,6.7,28.6,1.8857,36.9,TEST,Training,0.7279390726672924
cyclohexane,-0.060050331,0.0,35.48,2.0165,16.8,0.0,0.2,17.0,0.0012,5.8815,TRAIN,Training,0.5261834946468591
DMF,1.35449473,0.74,49.56,37.219,17.4,13.7,11.3,42.4,5.8704,60.1,TRAIN,Training,1.1455420904832114
DMSO,1.555103536,0.88,61.78,46.826,18.4,16.4,10.2,45.0,5.9174,78.7,TRAIN,Training,1.6104223227404977
nitrobenzene,0.797361927,0.28,57.54,34.809,20.0,10.6,3.1,33.7,6.4667,47.5,TRAIN,Training,0.8458586522185155
chlorobenzene,0.250669373,0.07,47.48,5.6968,19.0,4.3,2.0,25.3,2.4891,25.2,TEST,Training,0.49505234406247006
THF,0.564003349,0.48,39.44,7.4257,16.8,5.7,8.0,30.5,2.5202,31.7,TEST,Training,0.6028082154053838
