Name,Target_values,x2,x5,x6,x7,x8,x9,x10,x11,Csub-Csub,Csub-H,Csub-O,H-O,Set,Target_values_pred
1,1.854766065,110.9270401,89.87553406,49.77253406,1,0,0,0,1,0,1,0,0,Training,1.8490341042917762
2,2.034511341,110.6553116,78.65235138,55.53135138,1,0,0,0,1,1,0,0,0,Training,1.8570412738367215
3,0.860667495,112.0635071,88.85021973,13.69721973,0,0,1,1,1,0,0,0,1,Training,0.82702757489797
4,1.026447198,112.101181,69.10329437,18.04229437,0,1,0,1,1,0,0,1,0,Training,0.9780547991242257
5,0.952469022,111.8824539,88.58656311,4.54356311,1,0,1,1,2,0,0,0,1,Training,0.9622371799920217
6,0.308776518,113.0647278,89.46292114,-30.68007886,0,0,2,2,2,0,0,0,1,Training,0.4277862869912086
7,0.982261986,110.7689209,79.076828,9.545828003,1,0,1,1,2,1,0,0,0,Training,1.018383843872
9,1.047746118,110.5679703,78.03665161,8.735651611,1,0,1,1,2,1,0,0,0,Training,1.0099134273975339
10,0.515551116,110.4608917,58.43679047,-38.72420953,0,1,1,2,2,0,0,1,0,Training,0.4763962922164665
11,0.515551116,113.9221497,69.55827332,-27.60272668,0,1,1,2,2,0,0,1,0,Training,0.5163685158527752
12,0.44305174,112.8844147,62.99021912,-34.17078088,0,1,1,2,2,0,0,1,0,Training,0.4881199833461486
14,2.138192104,110.3923798,78.41550446,42.81450446,2,0,0,0,2,1,0,0,0,Training,2.3341408480219
16,2.091025544,111.3189087,89.78244019,41.79944019,2,0,0,0,2,0,1,0,0,Training,2.0702821493008035
19,1.16234335,110.8476944,76.10786438,10.35686438,1,0,0,0,1,1,0,0,0,Training,1.2759471901181696
20,1.989080521,111.2339783,82.79759216,5.392952454,2,0,0,0,2,0,1,0,0,Training,1.9647742091301712
21,2.801329141,110.3707199,78.09907532,37.37807532,2,0,0,0,2,1,0,0,0,Training,2.283133998796695
23,2.011592734,110.4220352,78.39561462,37.67461462,2,0,0,0,2,1,0,0,0,Training,2.285916254386703
24,0.998633019,110.4682465,66.3848114,3.963811401,1,1,0,1,2,0,0,1,0,Training,1.0100915966851396
25,1.031375085,113.392807,69.00031281,6.579312805,1,1,0,1,2,0,0,1,0,Training,1.0310949991098561
27,1.694401925,110.9802704,77.10182953,51.03182953,1,0,0,0,1,1,0,0,0,Training,1.8052186722157986
28,0.515838419,111.9355087,78.45265198,-39.33034802,0,0,2,2,2,0,0,0,1,Training,0.4194579082487909
29,0.916777853,111.7115936,70.3069458,17.6069458,0,1,0,1,1,0,0,1,0,Training,0.975691383191206
30,0.837770564,111.7983551,76.89291382,-46.53008618,1,0,2,2,3,0,0,0,1,Training,0.8160025438618334
31,0.942297022,111.0540771,86.16723633,3.394236328,1,0,1,1,2,0,0,0,1,Training,0.9578180524077422
32,0.965415203,110.8601837,86.97593689,4.93293689,1,0,1,1,2,0,0,0,1,Training,0.9638538103254941
33,0.39762592,111.0383148,55.76971817,-71.26043939,0,2,1,3,3,0,0,1,0,Training,0.3430917764205861
34,1.178714383,111.0308151,84.12934875,-69.57365125,2,0,1,1,3,0,0,0,1,Training,1.1799617668781393
36,0.321084552,110.7593079,59.81459808,-76.60640192,0,2,1,3,3,0,0,1,0,Training,0.3191765343151367
37,0.329517076,115.2292938,70.45233154,-65.96866846,0,2,1,3,3,0,0,1,0,Training,0.36961859006343356
