code_name,Pt_Partial charge,Pt_Atom SASA,Pt_Buried volume,Pt_H bond H2O,Pt_Fukui+,Pt_Fukui-,Pt_Electrophil.,Pt_Normaliz. electrophil.,Pt_Normaliz. nucleophil.,Pt_Fukui_rad,Pt_Fukui dual,Pt_Dipole moment,Pt_Coord. numbers,Pt_Atom Polarizability,Pt_Atom FOD,Pt_Atom dispersion,Pt_Pyramidalization,Pt_Pyramidaliz. volume,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Polarizability,Total FOD,Hardness,Softness,Dispersion area,Dispersion volume,Chem. potential,Electrophilicity,Electrofugality,Nucleofugality,S0-T1 gap,TOF_class
3aa,-0.054,0,89.3342,0,0.0802,0.1434,0.046,0.0597,-0.921,0.1118,-0.0632,0.1458,3.4859,35.5579,0.1979,57.4865,0.0283,0.62,9.019,-8.2966,0.7225,6.4233,-0.1628,4.8049,712.3052,-19.1857,-1.7646,-7.7129,426.5066,0.5297,6.5861,0.1518,615.7228,704.1218,-3.1303,0.7439,7.1672,0.9067,62.3734,1
3aj,-0.0456,0,81.48,0,0.077,0.139,0.0465,0.0642,-0.9191,0.108,-0.062,0.1622,3.513,35.24,0.1564,51.7704,0.0169,0.3506,8.4073,-8.2763,0.1309,6.6123,0.0187,3.6586,732.053,-15.22,-1.85,-7.8693,451.4907,0.4949,6.5936,0.1517,638.3076,744.3545,-3.3155,0.8336,7.4459,0.8149,66.18,0
[Pt(ICy)(dvtms)],0.1913,0.05,85.15,0,0.132,0.305,0.062,0.047,-1.6975,0.219,-0.173,0.3943,4.867,36.495,0.2167,49.4911,1.4438,10.4869,7.5131,-6.1384,1.3747,5.5657,-1.1812,5.3289,648.7219,-5.94,-0.76,-6.8499,358.7648,0.4555,6.7469,0.1482,550.0953,617.7407,-2.1922,0.3562,5.9219,1.5374,63.85,1
3ae,-0.053,0.0144,91.3992,0,0.047,0.1113,0.034,0.0436,-0.7036,0.079,-0.0643,0.1252,3.5005,35.5676,0.1999,66.1243,0.0812,1.239,8.9538,-8.4201,0.5337,6.3243,0.3396,4.1479,1168.988,-19.9977,-1.8853,-7.9107,857.3178,0.7953,5.9847,0.1671,1074.4468,1285.4924,-3.3319,0.9275,7.2518,0.5879,63.081,1
3ac,-0.053,0,84.2245,0,0.0745,0.142,0.0426,0.0529,-0.9179,0.1082,-0.0675,0.1281,3.4982,35.4672,0.17,50.0465,0.0045,0.1299,9.2216,-8.3413,0.8802,6.4641,-0.276,4.4245,651.7736,-19.429,-2.11,-7.6674,356.2243,0.4627,6.7401,0.1484,530.7986,574.1167,-3.0941,0.7102,7.1743,0.9862,65.5157,0
[Pt(IPr)(dvtms)],0.1766,0,89.89,0,0.014,0.301,0.0414,0.0076,-1.6369,0.158,-0.287,0.2909,4.592,36.325,0.3031,60.7519,0.0313,8.4823,7.1642,-6.4645,0.6997,5.4382,-0.4033,7.5307,782.4235,-7.18,-1.03,-7.1128,494.0579,0.7359,5.8415,0.1712,699.9681,828.9819,-2.5175,0.5425,5.9807,0.9458,61.92,0
[Pt(IPr2)(dvtms)],0.1657,0,91.73,0,0.011,0.268,0.0381,0.0086,-1.4412,0.14,-0.257,0.2467,4.301,36.2,0.3785,70.1864,0.1267,7.5223,7.1397,-6.7004,0.4392,5.3775,0.2697,5.9309,1213.6877,-8.14,-1.26,-7.2735,925.5598,1.0924,5.1078,0.1958,1177.6851,1411.258,-2.8236,0.7804,6.1579,0.5107,55.97,0
3ah,-0.0524,0,91.299,0,0.0408,0.1038,0.0313,0.0407,-0.6535,0.0719,-0.0631,0.1231,3.4994,35.5781,0.2012,69.6215,0.0323,0.7555,8.8104,-8.52,0.2905,6.2951,0.5043,4.3054,1399.098,-20.3294,-1.7327,-7.9932,1107.972,0.935,5.7908,0.1727,1383.7276,1650.3131,-3.3997,0.998,7.293,0.4937,63.0192,1
3ad,-0.0521,0.6648,80.6199,0,0.1866,0.152,0.0769,0.1235,-0.9979,0.1698,0.0346,0.0436,3.4875,35.5487,0.1957,45.6251,0.005,2.4554,8.7517,-8.0866,0.6651,6.5636,-0.4648,11.1173,570.1493,-37.2774,-1.7904,-7.8163,291.0036,0.4462,7.0283,0.1423,462.6478,497.5665,-3.0494,0.6616,7.2251,1.1263,60.3615,0
3ca,0.0749,0,88.47,0,0.02,0.157,0.0277,0.0184,-1.0005,0.088,-0.137,0.6002,3.505,35.624,0.204,58.4208,0.0064,0.8542,8.3495,-8.2181,0.1313,6.3729,0.3047,1.5574,748.214,-19.48,-1.72,-8.1835,441.5492,0.6828,6.0682,0.1648,637.8471,720.2108,-3.3388,0.9185,7.2914,0.6138,64.81,0
3ag,-0.054,0,91.5467,0,0.0533,0.1068,0.0361,0.049,-0.673,0.08,-0.0535,0.133,3.498,35.5745,0.2006,65.9523,0.0335,0.8082,9.0922,-8.3525,0.7397,6.3052,0.3263,5.1777,1184.2575,-21.2665,-2.1862,-7.9034,867.2428,0.8016,5.979,0.1672,1094.9417,1306.4479,-3.3157,0.9194,7.2246,0.5931,62.9312,1
3ak,-0.0607,0.4144,83.4975,0,0.1748,0.1329,0.0731,0.1197,-0.8608,0.1539,0.042,0.0903,3.4909,35.5746,0.2032,51.3455,0.031,3.4037,8.5729,-8.1765,0.3964,6.478,-0.3588,11.0779,753.284,-37.3307,-1.6208,-7.8302,430.7768,0.4606,6.8367,0.1463,636.9724,758.3,-3.0596,0.6846,7.1626,1.0434,59.6761,0
3af,-0.051,0.021,90.6473,0,0.0515,0.0991,0.0333,0.0427,-0.6006,0.0753,-0.0476,0.128,3.5017,35.5702,0.1951,65.679,0.0332,0.7581,8.9842,-8.3913,0.5929,6.0603,0.1812,4.6891,1366.1928,-23.1942,-2.8472,-7.7619,949.6248,0.8087,5.8791,0.1701,1262.5454,1477.0784,-3.1207,0.8283,6.8885,0.6471,63.2022,1
3ce,0.0793,0,90.2975,0,0.0149,0.1195,0.0218,0.016,-0.7513,0.0676,-0.1046,0.5845,3.5235,35.6526,0.1976,65.3856,0.0101,0.4822,8.4062,-8.3591,0.0471,6.2909,0.6653,0.3729,1201.8357,-20.6628,-1.968,-8.3755,872.3738,0.937,5.6256,0.1778,1099.1828,1302.5553,-3.4781,1.0752,7.3661,0.41,65.765,0
3ba,-0.0559,0,89.5018,0,0.0694,0.1461,0.0423,0.051,-0.9344,0.1075,-0.0767,0.1326,3.4919,35.5604,0.1958,58.3185,0.0123,0.2832,9.0014,-8.2582,0.7432,6.396,-0.1761,4.3652,741.6873,-19.4811,-1.6822,-7.6902,444.6394,0.5313,6.5721,0.1522,637.7909,733.8766,-3.1099,0.7358,7.1318,0.912,63.0923,0
3be,-0.0571,0,93.8413,0,0.0427,0.1193,0.0332,0.0388,-0.7428,0.0811,-0.0766,0.1202,3.5142,35.5709,0.2211,71.7924,0.062,1.2163,8.7501,-8.2849,0.4651,6.228,0.3244,4.3376,1193.0902,-20.5878,-1.7824,-7.8142,875.5902,0.8372,5.9036,0.1694,1095.1725,1316.1818,-3.2762,0.9091,7.1371,0.5847,61.7846,1
3ab,-0.0369,0,89.6096,0,0.0874,0.1348,0.0469,0.0633,-0.861,0.1112,-0.0474,0.126,3.4925,35.5162,0.1954,57.3954,0.0559,1.0404,9.0135,-8.3026,0.7108,6.3853,-0.2052,4.9342,708.0532,-20.3846,-1.6378,-7.7012,427.1687,0.5256,6.5906,0.1517,612.1697,711.5367,-3.0901,0.7244,7.1097,0.9296,62.0557,1
3ai,-0.0519,0,89.4253,0,0.0868,0.139,0.0478,0.0643,-0.8816,0.1125,-0.0522,0.1597,3.4836,35.5128,0.2031,61.7192,0.032,0.5428,8.9108,-8.3055,0.6053,6.3436,-0.1438,4.8051,790.9529,-18.7489,-1.5591,-7.7016,519.8507,0.5447,6.4874,0.1542,727.0212,880.4466,-3.0999,0.7407,7.0843,0.8844,61.5281,0
