ID,NBOB,WBO,%VBur(B),HOMO/LUMO gap,Fermi Level,BDFEB-H,dG_HAT(IIa)
1,0.89,2.9667,52.65,0.20053,-0.186565,43.81,3
2,0.866,2.8827,50.07,0.21491,-0.174455,58.88,2
3,0.688,3.1184,50.47,0.20056,-0.18244,44.6,3
4,0.884,2.8966,50.46,0.19514,-0.16942,50.56,2
5,0.665,3.0462,47.83,0.20024,-0.17412,53.23,2
6,0.89,2.9596,53.43,0.20414,-0.17346,46.85,3
7,0.67,3.0425,48.02,0.19986,-0.16104,48.23,3
8,0.89,3.0553,51.81,0.19655,-0.169385,35.47,3
9,0.686,3.109,51.2,0.20702,-0.16771,47.4,3
10,0.93,2.9115,52.89,0.14055,-0.148125,43.24,3
11,0.86,2.8799,50.98,0.20194,-0.16437,56.41,2
12,0.691,3.216,49.68,0.33019,-0.098345,36.54,3
13,0.653,3.0236,48.58,0.21005,-0.157185,57.08,2
14,0.874,2.9837,51.91,0.19739,-0.146955,46.99,3
15,0.735,3.0713,46.4,0.2037,-0.13755,44.21,3
16,0.607,3.0873,54.69,0.18516,-0.13256,56.86,3
17,0.585,3.001,59.35,0.08821,-0.080595,58.87,2
18,0.329,3.1793,58.62,0.18441,-0.121125,58.43,2
19,0.67,3.1346,49.8,0.20764,-0.13751,47.24,3
20,0.847,2.8954,49.47,0.19322,-0.13073,57.13,3
21,0.293,3.278,52.45,0.19616,-0.12432,52.74,3
22,0.627,3.026,58.05,0.18562,-0.11962,60.55,2
23,0.767,3.0112,59.58,0.19063,-0.117985,61.93,2
24,0.459,2.9191,58.5,0.17389,-0.090695,77.77,1
25,0.697,3.0255,53.05,0.19628,-0.1199,54.96,3
26,0.63,3.039,47.13,0.20844,-0.12141,57.97,2
27,0.296,3.1564,56.3,0.19143,-0.113445,64.06,1
28,0.356,3.1465,57.32,0.19082,-0.10699,63.38,2
29,0.924,2.9385,52.07,0.19659,-0.100935,55.58,3
30,0.327,3.1638,50.56,0.20323,-0.107635,61.87,1
31,0.444,3.0656,36.69,0.21107,-0.119845,56.82,3
32,0.17,3.1491,46.45,0.20478,-0.10704,67.65,2
33,0.159,3.1375,53.17,0.20132,-0.10483,66.26,2
34,0.709,3.111,54.64,0.2026,-0.10068,51.98,3
35,0.373,3.0786,42.89,0.20711,-0.107665,67.29,3
36,0.087,3.1961,38.59,0.21023,-0.112825,61.71,3
37,0.412,3.0608,33.77,0.22534,-0.11255,58.71,3
38,-0.002,3.1805,38.72,0.21178,-0.11077,67.29,3
39,0.37,3.0637,37.47,0.22258,-0.10724,62.93,2
40,0.396,3.0514,33.56,0.21832,-0.11272,61.23,2
41,0.386,3.0598,33.53,0.21618,-0.10566,63.12,2
42,0.856,2.9406,46.56,0.2164,-0.10128,50.92,3
43,0.06,3.0164,52.1,0.20907,-0.089165,42.93,3
44,0.877,2.9378,56.02,0.21765,-0.101445,50.86,3
45,0.577,3.2836,49.83,0.20153,-0.083705,60.13,3
46,0.179,3.155,46.46,0.20783,-0.094525,68.54,2
47,0.172,3.1422,53.16,0.20401,-0.093615,68.86,2
48,0.555,2.9795,82.73,0.20187,-0.089865,61.11,3
49,0.366,3.0782,33.51,0.20954,-0.0951,66.82,2
50,0.408,2.8896,53.91,0.1892,-0.07745,79.57,1
51,0.173,3.1532,53.09,0.20313,-0.088745,68.95,2
52,0.295,3.2522,52.42,0.20035,-0.080865,55.25,3
53,0.182,3.1679,46.41,0.2074,-0.08876,67.43,2
54,0.254,3.1121,35.42,0.21698,-0.09794,72.59,1
55,0.152,3.138,55.57,0.2032,-0.08704,71.46,1
56,-0.464,3.1341,37.88,0.22858,-0.11026,82.56,1
57,-0.048,3.1951,57.32,0.21614,-0.09507,66.35,2
58,1.191,2.7651,52.53,0.22089,-0.081205,50.42,3
59,-0.064,3.1865,38.23,0.21421,-0.093365,68.51,2
60,0.132,3.1454,55.78,0.20028,-0.0836,72.48,1
61,0.265,3.1617,72.08,0.21202,-0.0859,61.17,3
62,0.788,2.9932,51.97,0.21458,-0.08387,62.23,3
63,0.284,3.1235,70.74,0.21437,-0.089265,64.66,3
64,1.167,2.7937,50.05,0.22301,-0.087475,46.93,3
65,0.273,3.11,64.15,0.21357,-0.086715,72.09,1
66,0.215,3.1728,52.84,0.20914,-0.08339,66.8,2
67,0.289,3.1252,71.32,0.21266,-0.09087,65.1,3
68,1.336,2.6567,82.28,0.2292,-0.08593,45.45,3
69,0.331,3.0913,33.48,0.20468,-0.07872,69.36,2
70,0.217,3.1208,35.38,0.21345,-0.080705,75.02,1
71,-0.045,3.1738,31.1,0.21958,-0.08066,68.9,2
72,0.913,3.0744,50.32,0.22298,-0.13767,54.62,3
73,0.304,3.135,69.44,0.20518,-0.0784,72.64,1
74,0.976,3.005,51.79,0.22147,-0.080465,51.46,3
75,0.151,3.1254,63.71,0.20668,-0.07594,71.15,2
76,0.356,3.0904,72.51,0.21648,-0.07998,69.85,2
77,0.409,3.4546,67.22,0.21075,-0.074965,84.43,1
78,0.621,3.133,49.86,0.2054,-0.06004,52.73,3
79,1.045,2.9407,65.05,0.22081,-0.075785,41.84,3
80,0.461,3.0873,53.69,0.22262,-0.07706,62.69,2
81,0.457,3.0939,46.74,0.22243,-0.075965,62.36,2
82,0.89,2.8978,47.58,0.22709,-0.056265,54,3
83,0.903,2.8639,50.44,0.22401,-0.053845,62.67,3
84,0.743,3.069,62.58,0.22053,-0.052315,56.78,3
85,0.642,3.2224,48.01,0.22645,-0.050545,49.59,3
86,0.702,3.1306,49.48,0.22866,-0.05278,50.6,3
87,0.72,2.1631,54.46,0.23924,-0.0643,91.84,1
88,0.579,2.3984,56.26,0.22208,-0.0478,88.86,1
89,-0.125,2.6193,47.89,0.24853,-0.062175,90.93,1
90,0.437,2.4344,58.79,0.24369,-0.061615,92.35,1
91,-0.161,2.6173,24.42,0.25619,-0.071815,92.5,1
92,-0.119,2.5907,41.16,0.24806,-0.07064,92.9,1
93,-0.47,3.1304,71.52,0.22465,-0.104265,82.84,1
94,-0.107,2.5909,42.36,0.24564,-0.06554,92.43,1
95,-0.107,2.5903,41.31,0.24587,-0.065485,92.56,1
96,-0.107,2.5916,41.31,0.24584,-0.06589,92.48,1
97,-0.106,2.5908,41.37,0.24533,-0.064005,92.42,1
98,-0.107,2.591,41.33,0.24597,-0.065255,92.31,1
99,0.338,3.0871,33.47,0.20865,-0.081315,69.02,2
100,-0.563,3.1719,38.72,0.24184,-0.12213,81.4,1
101,-0.04,3.1892,38.39,0.2138,-0.10767,75.90925651,2
102,-0.005,3.1798,37.42,0.2037,-0.11086,75.02345931,2
103,0.454,3.046,78.68,0.19173,-0.087035,71.30319944,3
104,0.294,3.282,52.4,0.19549,-0.114585,63.34183397,3
105,0.675,3.031,57.91,0.19992,-0.11424,63.74845397,2
106,-0.077,3.1888,42.16,0.21384,-0.09177,78.78724196,2
107,-0.197,3.0591,45.67,0.21786,-0.10967,77.16767011,1
108,0.517,3.0353,68.53,0.20795,-0.111965,88.31452364,1
109,-0.049,3.1797,45.79,0.21917,-0.103295,77.87521527,2
110,0.215,3.1499,58.07,0.20378,-0.10701,75.30115254,2
111,-0.034,3.1918,40.4,0.20345,-0.101315,76.23350459,1
112,0.007,3.1883,45.58,0.21122,-0.1193,77.03886256,1
113,-0.043,3.1721,37.57,0.22008,-0.10726,68.50627134,2
114,-0.005,3.1674,40.26,0.22172,-0.1094,66.82852233,2
115,0,3.18,38.72,0.21153,-0.107735,66.91568033,1
116,0.176,3.1542,74.75,0.19722,-0.09901,70.005116,2
117,0.171,3.1499,76.58,0.19942,-0.0958,73.00975311,2
118,-0.546,3.1796,40.42,0.24365,-0.153345,81.44863309,1
119,-0.573,3.1571,45.1,0.23849,-0.091555,82.97881936,1
120,-0.198,3.191,58.87,0.20401,-0.098835,77.61399478,1
121,-0.04,3.2096,69,0.20793,-0.111485,70.65497163,1
122,-0.315,3.2288,54.07,0.21589,-0.113535,73.51913184,1
123,0.523,3.1142,70.07,0.20166,-0.11894,60.34974827,2
124,0.141,2.5385,49.92,0.24449,-0.058265,91.62658299,1
125,0.148,2.5373,53.29,0.2428,-0.05867,91.9611161,1
126,1.041,2.6225,43.61,0.2807,-0.04805,65.3173163,3
127,0.226,3.0528,32.59,0.24894,-0.05866,74.37469522,1
128,0.228,3.0973,32.01,0.25954,-0.06486,72.16654092,1
129,-0.005,3.1354,43.63,0.26106,-0.09259,70.49356129,1
130,-0.515,3.1155,36.76,0.30356,-0.06229,83.32459218,1
131,-0.523,3.127,43.3,0.30773,-0.057905,83.18215533,1
132,-0.054,3.218,39.28,0.24698,-0.07273,68.35568761,2
133,-0.088,3.1908,46.44,0.212,-0.09349,70.82555271,2
134,-0.134,2.6196,32.59,0.23094,-0.08265,92.26,1
135,-0.066,2.9473,50.29,0.24231,-0.115595,85.45,1
136,0.005,3.1369,38.22,0.22627,-0.108455,68.6503644,1
137,0.427,3.0156,33.41,0.22205,-0.139485,55.67,3
138,-0.038,3.2277,47.32,0.20801,-0.092185,69.52,2
139,-0.552,3.1828,32.01,0.25246,-0.17144,80.12,1
140,-0.005,3.034,34.85,0.20641,-0.101275,85,1
141,-0.005,3.1954,42.37,0.20641,-0.101275,67.21,2
