code_name,Ru_Partial charge,Ru_Dipole moment,Ru_Electrophil.,Ru_Nucleophil.,Ru_Radical attack,Ru_SASA,Ru_Buried volume,Ru_H bond with H2O,Ru_s proportion,Ru_p proportion,Ru_d proportion,Ru_Coord. numbers,Ru_Polariz. alpha,Ru_FOD,Ru_Dispersion,Ru_Pyramidalization,Ru_Pyramidaliz. volume,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP,conv,sel,sel2,yield,TON,TON2
CAAC.39_pre,0.1786,0.7359,0.051,0.0502,0.0506,0,0.9187,0,0.4261,0.6485,6.7688,4.0721,37.8053,0.5853,59.4042,0.701,5.9868,5.1569,-5.7725,-0.6156,6.1798,0.9831,2.2947,0,703.208,-16.3531,-1.5271,-8.4278,437.0795,1.3263,5.1967,0.1925,3.5814,1.2342,1.0908,9.9002,6.7125,30.7682,31.62678,56,35,0,20,65000,0
CAAC.38_pre,0.1949,0.6902,0.0456,0.0429,0.0443,0,0.9408,0,0.425,0.646,6.765,4.1021,37.8109,0.5767,60.9026,0.9432,7.6949,5.3932,-5.9576,-0.5644,6.132,1.1668,1.8262,0,827.4086,-16.1891,-1.491,-8.5067,528.0644,1.4494,4.9652,0.2014,3.6494,1.3411,1.0379,9.3906,7.5014,31.7478,12.68078,80,89,0,71,237000,0
sCAAC.18_pre,0.2217,0.7435,0.0488,0.0378,0.0427,0,0.9551,0,0.429,0.652,6.7544,4.0927,37.7799,0.5611,69.0325,0.9524,7.8694,5.2259,-5.811,-0.5852,6.0598,0.9792,1.3592,0,783.1833,-16.2344,-1.5049,-8.4004,512.819,1.3719,5.0806,0.1968,3.5195,1.219,1.1073,9.4715,6.9265,30.9666,11.98448,84,94,1,79,1579200,1
CAAC.09_pre,0.1883,0.7634,0.0505,0.0475,0.0495,0,0.9153,0,0.4278,0.6456,6.7691,4.1013,37.809,0.5825,58.2544,0.2129,2.5414,5.1328,-5.7819,-0.6491,6.1929,0.992,1.5464,0,649.0683,-16.1997,-1.5196,-8.4555,378.9,1.3365,5.2008,0.1923,3.5924,1.2408,1.0863,10.042,6.7103,30.1913,8.8717,37,86,0,32,110000,0
NHC.102_pre,0.1117,0.7453,0.045,0.0578,0.0515,0,0.916,0,0.4189,0.6454,6.8055,4.1456,37.8748,0.5759,55.7266,0.0175,0.7219,5.2393,-5.5063,-0.267,6.0288,0.9187,2.1757,0,847.6604,-17.4178,-1.5666,-8.2727,520.1302,1.3339,5.1101,0.1957,3.4737,1.1807,1.1319,9.5241,7.3641,32.0152,11.80604,18,83,0,15,7500,0
CAAC.08_pre,0.0817,0.542,0.0526,0.0587,0.0561,0,0.9788,0,0.4516,0.7224,6.7964,4.4066,37.9246,0.8074,74.6227,0.0137,0.1177,3.2124,-4.9765,-1.7641,5.6521,1.5573,2.7299,0,973.9722,-15.9138,-1.5985,-8.3868,765.6914,2.3339,4.0948,0.2443,3.6047,1.5866,0.9558,8.849,8.1386,18.4782,19.21837,37,91,1,34,34000,0
sCAAC.19_pre,0.1639,0.6743,0.0467,0.0417,0.0442,0,0.957,0,0.4224,0.6549,6.7587,4.3435,37.8155,0.556,68.4682,0.3383,3.1612,5.298,-5.8326,-0.5346,6.1096,1.0266,2.6346,0,727.3132,-19.3192,-1.6451,-8.4312,476.1981,1.382,5.0831,0.1968,3.5681,1.2524,1.0858,9.6955,7.0155,31.392,10.94198,63,98,1,61.7,1234800,1
sCAAC.14_pre,0.2238,0.7475,0.0471,0.0374,0.0423,0,0.9581,0,0.4304,0.6544,6.752,4.0836,37.7842,0.5582,68.2988,0.953,7.869,5.2371,-5.8053,-0.5683,6.0645,0.9579,1.5541,0,745.6569,-16.2446,-1.4932,-8.3886,494.5896,1.3596,5.1067,0.1958,3.5112,1.2071,1.1139,9.562,6.9033,31.1747,11.72252,56,97,1,54.3,1086400,1
CAAC.36_pre,0.1791,0.6982,0.0473,0.0447,0.046,0,0.9376,0,0.425,0.6459,6.7672,4.0763,37.8072,0.5754,59.276,0.9242,7.5526,5.3864,-5.935,-0.5486,6.1932,1.0502,2.0157,0,722.3441,-16.1837,-1.4885,-8.4848,453.2932,1.3627,5.143,0.1944,3.6217,1.2752,1.0677,9.7941,7.0314,31.6876,10.62018,81,89,0,72,242000,0
CAAC.05_pre,0.1088,0.5369,0.0676,0.0484,0.058,0,0.9847,0,0.4518,0.7186,6.8089,4.398,37.9212,0.7842,73.7783,0.0362,0.3034,3.2162,-4.9687,-1.7525,5.6643,1.433,0.6032,0,911.1868,-16.8273,-1.5328,-8.3714,717.625,2.1155,4.2313,0.2364,3.5487,1.4882,0.997,9.0002,7.6973,19.9293,16.02341,57,89,0,51,51000,0
