code_name,QY,Pd_partial charges,Pd_mulliken charges,Pd_cm5 charges,Pd_FUKUI+,Pd_FUKUI-,Pd_FUKUIrad,Pd_s proportion,Pd_p proportion,Pd_d proportion,Pd_Coordination numbers,Pd_Dispersion coefficient C6,Pd_Polarizability alpha,Pd_FOD,Pd_FOD s proportion,Pd_FOD p proportion,Pd_FOD d proportion,total energy,HOMO-LUMO gap/eV,electronic energy,Dipole module/D,Total charge,HOMO,LUMO,Fermi-level/eV,Total dispersion C6,Total dispersion C8,Total polarizability alpha,Total FOD,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
11,1,-0.256299265145881,0.189262370218428,0.556361465859183,-0.103992953485323,-0.230014013366972,-0.167003483635236,0.415000001696959,0.572982358680579,8.822951014110995,3.083171275153846,282.2719007255806,34.64909409838811,0.280715568238402,0.007005263586742,0.002,0.271561265568214,-117.65770713668688,1.270438084845315,-119.04667163324616,16.479806949574442,0.0,-10.1398512104494,-8.869478756135338,-9.50463719286486,53291.85134761089,1466899.8239527158,369.0302459893185,1.267589033631197,14.456119195373546,14.456119195373546,0.13245169595616,-7.11820627309566,0.307088285313267,632.8870000000011,611.7190000000003,632.0375598921806,204,1,1.051282051282051,1.7179487179487172,2.384615384615384,3.487460460805732,2.227034232680259,2517.6680590881942,45.83953412367647,39.294038118827615,19.84863904619776,27.238223405368704,20.11854724795776,12.420988223188752,6.528274495778563,10.9045343240064,4.226101590411746,9.448061230966914,2.775966939781126,7.867490098985368,-4.267662337662337,1779730999814.2444,11.076635627047716,10.129347288863976,4.621268916425033,253.9116876845341,0,0,0,0,0,253.4035709496871,0,0,0,0,0,0,0,0,92.02948553312196,33.9768667740408,0.0,0.0,0,6.176298517443475,14.075904917765175,95.64599154074786,0,11.49902366656781,16.710754019095017,13.17124514302446,11.49902366656781,0.0,41.29764631694498,34.18883709166126,0.0,39.91283266296863,84.51908855735387,0.0,12.104143492071133,0,77.95000000000002,177.77649584526637,22.760319511168102,0.0,6.409747711261583,0.0,0,0.0,0,0,0.0,46.45700788199117,234.2948580839821,-7.11820627309566,27.04127359306407,0.0,-4.06851643305098,-10.1868653116839,-17.646335748501105,-9.468969638911751,0.0,-7.447238271802776,0.111111111111111,39,0,8,0,2,2,2,1,3,6,0,12,8,0,0,0,5,3.205000000000002,128.17440000000002,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,1,-0.272754750256866,0.185459998249403,0.5556261997373501,-0.09798865207845,-0.231041039518772,-0.16501309686008,0.414999999999999,0.5699934515699591,8.82994630002736,3.0851555345625,283.04520027089507,34.69664421292559,0.293464340677573,0.009002182810013,0.001002182810013,0.283060684808893,-121.41060304418198,1.255237631794772,-123.0651242780682,16.85859743291045,0.0,-10.217987656938949,-8.962738425781316,-9.585847550610607,64330.801924751446,1812342.5422685188,410.7336935434856,1.419035391491568,14.729907329237438,14.729907329237438,0.04034080801487,-6.983239814289914,0.143486331450365,670.939000000001,651.7870000000003,670.0320805881806,214,1,0.8372093023255811,1.511627906976744,2.2325581395348832,3.555058393659022,1.810962134721098,3206.233069620886,46.04412271482038,39.477541537899896,22.032142465270024,28.6906877866796,21.052050667030034,14.354491642261026,8.415902060082766,12.792161888310607,6.008119369026697,11.230079009581864,4.371412055146586,9.664832267690135,-4.907662337662336,17013704081394.123,12.758329394610715,9.044207639876957,3.635439745443625,272.1285092751241,0,0,0,0,0,272.0811133861113,0,0,0,0,0,0,0,0,79.81424251318147,60.24214031479401,0.0,0.0,0,6.176298517443475,0.0,125.84843204069207,0,0.0,7.237028111494919,13.17124514302446,0.0,0.0,27.221741399179805,34.18883709166126,0.0,37.17131555062818,114.7215290572981,0.0,38.36941703282434,0,59.49,208.6692813016308,26.87259517967876,0.0,6.409747711261583,0.0,0,0.0,0,0,0.0,30.12948919353994,220.23464645510668,-6.983239814289914,27.74198010893744,-3.876887409440956,-3.544192350802547,-6.436132434251118,-18.770080798615822,-9.132760423310398,0.0,0.0,0.03030303030303,43,0,6,0,2,2,5,1,6,4,0,10,3,0,0,0,8,5.420100000000005,148.84239999999974,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,3,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,1,-0.270862730323597,0.18172595184384,0.546326120645725,-0.104995515083294,-0.297026973382115,-0.201010160213627,0.414000000866326,0.570980997081529,8.83395834039534,3.064132768938673,282.9564637513319,34.69163872561874,0.310625925606865,0.009003543760676,0.001999999999999,0.300054022799938,-106.36074281183308,1.277043406217323,-107.70409648792638,16.46963738081929,0.0,-10.22793892742901,-8.950895969063254,-9.586074765281934,46520.37702284422,1305506.051083651,347.49922068867176,1.209547998101881,14.298731683895127,14.298731683895127,0.059526171579743,-6.933228594524231,0.347068846788903,586.8620000000011,567.7100000000004,586.0320805881805,186,1,1.111111111111111,1.833333333333333,2.527777777777777,3.443991643407239,2.214565225708527,2374.282358182912,41.92532056130337,35.97754153789989,18.532142465270024,25.08064544703887,18.55205066703003,11.854491642261026,6.165902060082768,10.542161888310606,3.901186633281216,9.123146273836388,2.570787414495392,7.68014023529122,-3.867662337662336,239614546599.7024,10.24596744704064,8.9712121116579,4.083903812126155,234.5097141107881,0,0,0,0,0,234.0711616620696,0,0,0,0,0,0,0,0,79.81424251318147,33.9768667740408,0.0,0.0,0,13.028190634739154,0.0,107.25186174010814,0,0.0,7.237028111494919,13.17124514302446,0.0,0.0,27.221741399179805,34.18883709166126,6.851892117295679,42.73476704232519,90.56150726501716,0.0,12.104143492071133,0,59.49,170.65932957758935,22.760319511168102,0.0,6.409747711261583,0.0,0,0.0,0,0,0.0,34.2417648620506,210.050481973286,-6.933228594524231,26.720176814036417,0.0,-5.166084935864323,-6.724895840816428,-17.960927923506446,-9.229679173943753,-3.60584231866721,0.0,0.076923076923076,36,0,6,0,2,2,2,1,3,4,0,10,5,0,0,0,5,3.496220000000002,119.80740000000002,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,1,-0.265176897721118,0.186090671980179,0.554861321150739,-0.099994651078817,-0.267007603942803,-0.183002318997794,0.415000551711166,0.5719897032621031,8.826470509869432,3.082099785548671,282.68903362842195,34.67525566385879,0.286640910532923,0.008001291151283,0.002,0.277538353247011,-117.65105218669883,1.290422988095636,-119.03770135792908,17.62944586220627,0.0,-10.18196554210208,-8.891530799531909,-9.53587071684904,53279.25820576548,1466726.242698365,368.99056971558633,1.277758393756094,14.456119195373546,14.456119195373546,0.13245169595616,-7.11820627309566,0.307088285313267,632.8870000000011,611.7190000000003,632.0375598921806,204,1,1.051282051282051,1.7692307692307692,2.461538461538461,3.48796007799915,2.235589472384069,2517.6680590881942,45.83953412367647,39.294038118827615,19.84863904619776,27.238223405368704,20.11854724795776,12.420988223188752,6.528274495778563,10.9045343240064,4.2771326267197285,9.499092267274897,2.826997976089108,7.918521135293351,-4.267662337662337,1784089609896.7134,11.076635627047716,10.129347288863976,4.515319323448921,253.9116876845341,0,0,0,0,0,253.4035709496871,0,0,0,0,0,0,0,0,92.02948553312196,33.9768667740408,0.0,0.0,0,6.176298517443475,14.075904917765175,95.64599154074786,0,11.49902366656781,16.710754019095017,13.17124514302446,11.49902366656781,0.0,41.29764631694498,34.18883709166126,0.0,39.91283266296863,84.51908855735387,0.0,12.104143492071133,0,77.95000000000002,177.77649584526637,22.760319511168102,0.0,6.409747711261583,0.0,0,0.0,0,0,0.0,46.45700788199117,234.39646142672723,-7.11820627309566,27.11019836665808,0.0,-4.189473971158815,-10.17855625503655,-17.675803341093697,-9.468969638911751,0.0,-7.475650314088828,0.111111111111111,39,0,8,0,2,2,2,1,3,6,0,12,8,0,0,0,5,3.205000000000002,128.17440000000002,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,1,-0.18860220327215,0.216750208937099,0.5949695649811041,-0.106986190873882,-0.327005149599587,-0.216995028556301,0.416993738083491,0.5779681099535691,8.787928994039596,3.162326757842951,279.1225129481016,34.45535134567432,0.314428881900994,0.00700883250271,0.001005057602978,0.305122784061525,-111.64575160191048,1.1815297610943691,-112.92803513675392,12.17850309955382,0.0,-10.50420407534865,-9.322706592579072,-9.912401525701377,44200.10569651223,1247402.3248026152,337.24230484043954,1.18705338919687,16.422467460392106,16.422467460392106,0.161243858654573,-6.991561927857563,0.258798834345192,608.815000000001,593.6950000000004,607.9975869001804,192,1,1.054054054054054,1.729729729729729,2.4054054054054053,3.439484814078906,2.169752782902686,2278.085116900159,39.42532056130337,32.233470483918346,18.78807141128848,23.86932058163368,16.68001514003926,11.982456115270251,6.293866533091996,10.670126361319834,3.9950495850191903,9.363905205637638,2.687041874458042,7.890589928847261,-4.007662337662335,81058550829.6106,12.491838167592336,9.137205954517826,4.280752030121117,230.8559608015728,0,0,0,0,0,230.54563689817417,0,0,0,0,0,0,0,0,83.1120383838502,33.9768667740408,0.0,0.0,0,6.176298517443475,0.0,107.28043322283963,0,0.0,7.237028111494919,21.9520752383741,0.0,0.0,27.221741399179805,34.18883709166126,11.63444168209179,31.688281325947287,84.51908855735387,0.0,12.104143492071133,0,59.49,163.83600894302515,22.760319511168102,8.78083009534964,6.409747711261583,0.0,0,0.0,0,0,0.0,28.75873063736972,204.88893187142924,-6.991561927857563,26.28920116683309,0.0,-4.084848491789327,-11.268769230407685,-17.584329935163428,-9.34862345304428,0.0,0.0,0.04,37,0,6,0,2,2,2,1,3,4,0,12,4,0,0,0,5,3.466000000000002,114.98640000000002,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,4,-0.226280793406905,0.20015461605466,0.5732941373701771,-0.090917796207801,-0.269515364091916,-0.18048663291725,0.416998152609994,0.5685325517265071,8.814448660506024,3.118125902969958,280.8687551577849,34.562934668107154,0.318219172468834,0.009006711642704,0.001461787646192,0.307732169500241,-122.84247056551158,1.147610488218004,-124.15576062975023,21.846263647943463,0.0,-10.509379109915823,-9.36178422948214,-9.929542229458418,51720.65882617132,1420653.0963784612,360.58889122386586,1.352465575538361,14.45055046135271,14.45055046135271,0.143410808767952,-7.18597514329806,0.172618613068147,651.846000000001,633.7020000000003,651.0069880361806,210,1,1.125,1.825,2.45,3.427687133079712,2.291590326559274,2436.5698784326746,44.26218385448684,36.5577482952553,20.11234922262544,26.32753980284574,18.70730241737785,12.509743392608842,6.758991078613591,11.13525090684143,4.449276280508585,9.67123592106375,2.943585752841145,8.201346642201532,-4.6076623376623385,692203174374.5256,12.70939307715414,9.851283723807876,4.288132233557539,252.3094707099216,0,0,0,0,0,251.86974867370884,0,0,0,0,0,0,0,0,92.84052091342896,33.6121813026888,0.0,0.0,0,6.176298517443475,14.075904917765175,93.66581935581458,0,11.49902366656781,16.710754019095017,18.858631417708025,11.49902366656781,0.0,46.22095736576266,34.18883709166126,10.114318268765572,35.80055699445796,72.424598103655,0.0,6.052071746035566,0,121.09,170.24063096903316,32.87463777993368,0.0,6.409747711261583,0.0,0,0.0,0,0,0.0,42.344732213480505,209.4937525982573,-7.18597514329806,37.40567435637279,11.70811877961648,-5.94881254131124,-10.24603990390922,-15.095213414620671,-9.549493874748656,0.0,-7.515344189692066,0.12,40,0,11,0,2,2,2,1,3,8,0,15,8,0,0,0,5,2.448100000000001,124.8968,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,5,-0.212907802977203,0.205443178513128,0.5817003891275171,-0.102032921980661,-0.295072442704363,-0.199051039912283,0.413001098412923,0.5720043944162021,8.809743179638152,3.123568768686451,280.24765028373537,34.52512489431715,0.335638120246264,0.010018658198432,0.001999999999999,0.324311174156712,-133.4740483548128,1.183041436023222,-134.7210424990001,24.00405786983732,0.0,-10.464626521173072,-9.281634194166047,-9.872634967855667,49828.16560023771,1370051.165187785,350.4786713234447,1.263300499579965,15.524827554733756,15.524827554733756,0.448687169312169,-7.412050666099772,0.134226854042564,696.7990000000008,682.6870000000002,695.9748007681803,224,1,0.952380952380952,1.5714285714285712,2.166666666666666,3.41806502653626,2.289859049475439,2333.9366102624285,42.68483358529721,33.18386048387375,20.73846141124389,25.416856200322773,17.06345843048083,12.86589940571182,7.22318567830163,11.599445506529468,4.864702548169525,10.086662188724691,3.232132436898564,8.489893326258949,-4.3576623376623385,299633462374.2728,16.32421087114598,10.173685704321556,4.222981021764971,252.86429000138165,0,0,0,0,0,252.53020346971155,0,0,0,0,0,0,0,0,104.38625087830454,27.924795028005235,0.0,0.0,0,6.176298517443475,14.075904917765175,88.4679304616253,0,11.49902366656781,16.710754019095017,35.123320381398564,11.49902366656781,0.0,41.29764631694498,34.18883709166126,29.086104205229475,30.317522769777067,48.25492327300183,0.0,6.052071746035566,0,77.95000000000002,170.9561107313698,35.93156465419256,8.78083009534964,0.0,0.0,0,0.0,0,0,4.736862953800049,32.12483503499955,246.8371259728524,-7.412050666099772,26.601225800444144,0.0,-5.81755184712774,-25.79743307099565,-9.760506244503722,-9.932633222774369,0.0,-7.651510055128662,0.12,42,0,8,0,2,2,2,1,3,6,0,17,7,0,0,0,5,3.235400000000001,118.0324,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,3,0,0,8,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,3,-0.271803883807159,0.182404634461057,0.547644856225127,-0.100995166976969,-0.251024078685649,-0.176010623414699,0.414000001125135,0.570983587318526,8.831969069250631,3.066609491376132,283.0010810338782,34.69419793640467,0.301647086301495,0.009001396391549,0.002,0.291045300916437,-120.25087499529938,1.257574419035466,-121.8687790083062,16.73162179080357,0.0,-10.203242608588653,-8.945665920007837,-9.572082012617823,62895.287849654414,1756209.0907563963,404.84948362757535,1.333958295112786,14.650217305959613,14.650217305959613,0.027457902914252,-7.053059825627783,0.206270716238255,660.9440000000011,639.7760000000003,660.0477306521807,212,1,0.976190476190476,1.69047619047619,2.452380952380952,3.696585066465815,1.836542907745268,2970.5498700692424,47.38942217644113,40.977541537899896,21.532142465270024,28.93470472253589,21.552050667030034,13.854491642261026,7.790902060082768,12.167161888310607,5.276186633281219,10.498146273836388,3.664537414495392,8.773890235291216,-4.647662337662337,17485465001645.283,11.919384206048605,9.72437891132994,4.14262614069294,271.37091816365887,0,0,0,0,0,271.15132215652494,0,0,0,0,0,0,0,0,82.5557596255219,33.9768667740408,0.0,0.0,0,12.549223418772854,0.0,130.94256935479507,0,11.126902983393991,7.237028111494919,13.17124514302446,0.0,0.0,27.221741399179805,40.56176199299064,0.0,51.03973564636264,108.68876338800705,0.0,23.231046475465124,0,59.49,204.997972959704,26.87259517967876,0.0,6.409747711261583,0.0,0,0.0,0,0,0.0,32.87100630588038,234.40833380719104,-7.053059825627783,27.439599024355093,0.0,-7.58301304068337,-6.780011242214973,-20.77491281215568,-12.50693591086428,0.0,0.0,0.0625,42,0,6,1,2,3,3,1,4,4,0,10,4,0,0,0,7,4.759000000000004,143.3123999999998,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,5,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,4,-0.250350460478088,0.192300663920011,0.564060966412966,-0.123970955905254,-0.290018943177042,-0.206996211364591,0.415996211364591,0.571984845458365,8.819916650021014,3.10127279997781,281.99336424744683,34.632405184240866,0.298312014691488,0.009003788635408,0.002,0.28810229315603,-107.49804858830588,1.325713965817987,-108.87702209489004,14.952219453863544,0.0,-10.293558589455747,-8.967780632541327,-9.628476177563622,47779.54364490797,1353955.8977956322,353.46016603279526,1.20185015463819,14.387666078907332,14.387666078907332,0.047527399848828,-6.819489843159487,0.267635558928694,596.857000000001,579.7210000000003,596.0164305241805,188,1,0.9189189189189192,1.594594594594594,2.324324324324324,3.45476455690072,2.079429127564055,2524.9442620151963,40.58002109968263,34.477541537899896,19.032142465270027,24.86932058163368,18.05205066703003,12.354491642261026,6.665902060082768,11.042161888310606,4.508119369026695,9.730079009581864,3.101647819770533,8.297905474353456,-4.127662337662335,265618469505.5124,11.09050955190318,8.474235302365903,3.600966901074843,235.9762143311821,0,0,0,0,0,235.7098620005848,0,0,0,0,0,0,0,0,77.07272540084104,38.69724345693482,0.0,0.0,0,6.176298517443475,0.0,113.76359462536549,0,0.0,7.237028111494919,13.17124514302446,0.0,0.0,27.221741399179805,34.18883709166126,0.0,34.42979843828773,102.6366916419715,0.0,16.82452017496516,0,59.49,175.03954702844504,24.13107806733832,0.0,6.409747711261583,0.0,0,0.0,0,0,0.0,30.12948919353994,196.9386515042952,-6.819489843159487,27.047896656669245,-1.7112276018751031,-3.506417466945967,-6.35481617955824,-17.343023205095154,-9.01824053099712,0.0,0.0,0.037037037037037,37,0,6,0,2,2,3,1,4,4,0,10,3,0,0,0,6,3.675900000000002,122.64440000000002,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,5,-0.269830456473604,0.184279460112406,0.551917900831018,-0.106975910110918,-0.284059020307214,-0.196014453933448,0.414999999999999,0.57098554606655,8.829884368532406,3.076320421735794,282.9074888553405,34.68823153155082,0.292938876817049,0.008009635955632,0.001999999999999,0.283128874393315,-114.96468569460724,1.333427764899489,-116.47918856773094,16.075778130997264,0.0,-10.247710870970913,-8.91434031127615,-9.573511123380314,56122.150610222445,1578634.6690132548,382.30473830680575,1.1912101815702831,14.584867359237982,14.584867359237982,0.071480589149239,-6.962404856387002,0.221759876226479,634.9060000000011,615.7540000000004,634.0320805881805,202,1,0.95,1.65,2.4,3.635875926685373,1.878233144761538,2774.3636605014403,44.23472163806188,37.977541537899896,20.532142465270027,27.11333751748997,20.052050667030034,13.354491642261026,7.540902060082768,11.917161888310607,5.195619369026697,10.417579009581864,3.664147819770533,8.860405474353454,-4.387662337662337,2951675437892.824,11.612889090607322,8.81290355878725,3.602768145139048,256.520695966714,0,0,0,0,0,256.30566155211307,0,0,0,0,0,0,0,0,79.81424251318147,27.924795028005235,0.0,0.0,0,12.549223418772854,0.0,124.8904976087595,0,11.126902983393991,7.237028111494919,13.17124514302446,0.0,0.0,27.221741399179805,40.56176199299064,0.0,48.2982185340222,102.6366916419715,0.0,17.17897472942956,0,59.49,192.8938294676328,26.87259517967876,0.0,6.409747711261583,0.0,0,0.0,0,0,0.0,30.12948919353994,217.41716462261127,-6.962404856387002,27.34272993727385,0.0,-7.410021005313019,-6.486285760745984,-17.746755917087384,-12.33776035368506,0.0,0.0,0.066666666666666,40,0,6,1,2,3,3,1,4,4,0,10,3,0,0,0,7,4.093900000000003,133.38039999999992,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,5,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
