code_name,SMILES,g_barr,O1CC1_O_Partial charge,O1CC1_O_Dipole moment,O1CC1_O_Electrophil.,O1CC1_O_Nucleophil.,O1CC1_O_Radical attack,O1CC1_O_SASA,O1CC1_O_Buried volume,O1CC1_O_H bond with H2O,O1CC1_O_s proportion,O1CC1_O_p proportion,O1CC1_O_d proportion,O1CC1_O_Coord. numbers,O1CC1_O_Polariz. alpha,O1CC1_O_FOD,O1CC1_O_Dispersion,O1CC1_O_Pyramidalization,O1CC1_O_Pyramidaliz. volume,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP
H,O1CC1,21.21,-0.0601,0.6849,0.027,0.0203,0.0339,40.4485,0.2804,-0.003,1.745,4.78,0,1.702,5.923,0,12.0643,1.6117,13.9312,15.728,-10.5241,5.2039,10.6953,-6.6297,1.6727,0,174.1392,-2.2318,-0.6418,-6.9414,28.2802,0.0001,17.325,0.0577,2.0328,0.1193,2.1388,18.5491,-5.1842,220.5947,0.0166
Me,CC1OC1,23.11,-0.0632,0.6659,0.0199,0.0145,0.0219,36.7986,0.336,-0.003,1.743,4.77,0,1.702,5.955,0,13.2572,1.599,13.9221,15.7456,-10.6038,5.1418,10.0936,-6.5025,1.7833,0,205.6693,-2.5102,-0.7288,-6.7803,39.8061,0.0001,16.5961,0.0603,1.7955,0.0971,2.3482,16.7405,-4.3453,218.1553,0.4051
CF3,FC(C1OC1)(F)F,25.44,-0.0285,0.6673,0.0702,0.0474,0.0828,34.0687,0.3762,-0.003,1.732,4.805,0,1.703,5.821,0.0001,13.6066,1.6101,13.9161,14.8142,-11.224,3.5902,11.4381,-4.7057,2.3847,0,233.2567,-3.0574,-1.633,-8.3058,43.6013,0.0002,16.1438,0.0619,3.3662,0.3509,1.4732,18.1931,-2.4492,208.0128,0.9475
tBu,CC(C)(C)C1OC1,26.17,-0.051,0.6711,0.013,0.0057,0.0127,28.7489,0.405,-0.002,1.74,4.755,0,1.702,5.949,0,15.3738,1.594,13.9271,14.6613,-10.5674,4.0939,9.2543,-6.2912,1.669,0,274.0798,-2.4475,-0.6462,-6.6375,74.6922,0.0002,15.5455,0.0643,1.4816,0.0706,2.6975,14.632,-3.2362,214.238,1.4313
OH,OC1OC1,22.96,-0.0597,0.6541,0.0262,0.015,0.0268,37.3486,0.3198,-0.003,1.744,4.788,0,1.702,5.9885,0,12.6015,1.6159,13.9355,16.1767,-10.9195,5.2572,10.5648,-6.4894,1.5397,0,190.8226,-6.8748,-4.5633,-7.0663,33.0381,0.0001,17.0542,0.0586,2.0378,0.1217,2.1475,17.9972,-4.8537,217.4912,-0.665
Ph,C1(C2=CC=CC=C2)OC1,24.61,-0.0499,0.6545,0.0358,0.0606,0.0593,31.4388,0.3762,-0.002,1.737,4.754,0,1.702,5.928,0.0022,14.7434,1.5984,13.9161,11.1379,-9.6663,1.4716,8.8603,-1.5102,1.6395,0,291.8509,-2.5774,-0.5915,-8.6203,90.8778,0.0386,10.3705,0.0964,3.6751,0.6512,1.3199,14.2496,2.3656,106.1888,1.7579
C(CF3)3,FC(C(C(F)(F)F)(C(F)(F)F)C1OC1)(F)F,32.72,-0.0234,0.6734,0.0798,0.0782,0.1017,24.6491,0.48,-0.002,1.727,4.798,0,1.703,5.817,0.0001,16.1914,1.6054,13.9093,14.4353,-11.3699,3.0654,11.7321,-3.5555,2.2204,0,323.7445,-2.1393,-1.9666,-8.8064,86.4958,0.0002,15.2876,0.0654,4.0883,0.5467,1.2216,17.2691,0.1159,206.9688,3.0585
CH2-Br,BrCC1OC1,23.95,-0.0409,0.6728,0.0634,0.0653,0.1008,36.4591,0.3438,-0.003,1.7398,4.7835,0,1.7021,5.9279,0.0009,13.9016,1.6061,13.934,11.8927,-10.865,1.0276,9.8454,-1.7251,0.5243,0,239.7093,-2.3241,-0.9186,-8.9154,58.7382,0.0164,11.5705,0.0864,4.0602,0.7124,1.1968,15.9389,1.6783,123.0374,0.7801
CH2-Cl,ClCC1OC1,23.44,-0.0445,0.6705,0.0473,0.0481,0.0677,36.3758,0.3437,-0.003,1.7387,4.7801,0,1.7021,5.9126,0.0003,13.7664,1.6055,13.9273,12.4417,-10.8491,1.5925,9.7452,-2.8843,0.5261,0,232.6177,-3.1519,-0.9629,-8.2107,52.1093,0.0026,12.6295,0.0792,3.4304,0.4659,1.4551,15.7683,0.97,152.7659,0.624
CH2-F,FCC1OC1,22.68,-0.0547,0.6612,0.0362,0.0214,0.0395,36.552,0.34,-0.003,1.7419,4.7714,0,1.702,5.9202,0.0001,13.2824,1.6068,13.9275,14.8252,-10.9124,3.9128,10.4785,-5.605,0.7369,0,217.1999,-3.5412,-1.4033,-7.4348,40.5246,0.0002,16.0835,0.0622,2.4368,0.1846,1.9284,16.9902,-3.1623,211.5015,0.3547
CH2-n-Bu,CCCCCC1OC1,25.47,-0.0573,0.6729,0.0103,0.0034,0.0091,35.6709,0.3506,-0.0028,1.7407,4.7582,0,1.702,5.9592,0,14.45,1.5987,13.9253,14.6451,-10.6336,4.0115,8.8827,-6.2954,1.8227,0,318.4474,-2.5258,-0.7127,-6.7239,86.4333,0.0002,15.1781,0.0659,1.2937,0.0552,2.9315,13.5127,-2.7061,215.2396,1.9655
CH2-Phe,C1(CC2=CC=CC=C2)OC1,26.58,-0.0563,0.6659,0.017,0.0349,0.0469,32.8896,0.365,-0.0026,1.7378,4.7428,0,1.702,5.9477,0.0017,15.0235,1.6013,13.9275,11.3952,-9.72,1.6751,8.6438,-1.7474,1.6656,0,319.6405,-2.8758,-0.67,-8.4802,102.4596,0.0357,10.3912,0.0962,3.4481,0.5724,1.4218,13.7036,2.1464,109.1815,1.6279
