ligand,G_Exp,E_HOMO,V_Bur,dist
TPMANMe2,10,-0.45,-1.19,-0.72
TPMA*3,12.1,-0.62,-0.96,-0.74
TPMA*2,13.4,-0.94,-1.01,-0.69
Cyclam-B,13.6,1.69,0.32,-0.41
TPMA*1,13.7,-1.26,-1.08,-0.65
Me6TREN,13.8,-0.37,-0.01,-0.66
TPMA,15.0,-1.60,-1.15,-0.66
BPED,16.6,-0.88,-0.70,1.45
PMDTA,16.9,-0.84,-0.86,1.50
Me4Cyclam,17.7,1.24,0.67,0.33
N[2_2_2],18.6,-0.04,-0.03,1.91
BPMPA,18.8,-2.20,-1.45,1.30
bpy,19.1,-2.04,-1.26,0.57
Et6TREN,19.3,-0.33,1.89,-0.44
TPMAPh,19.4,-1.45,0.34,-0.07
TMEDA,20.0,-0.56,0.29,1.40
N[3_2_3],20.6,0.14,0.94,1.25
N[2_3_2],21.5,0.48,0.46,1.39
