Label,N%VBp,N%VBd,NqC-B,NνC-B,NddG≠
4-CF3Ph,-0.7700,-0.7880,-0.6412,0.0223,-0.843
3-FPh,-0.6980,-0.4860,-0.6412,0.2925,-0.843
4-FPh,-0.7620,-0.7880,0.2137,-0.6404,-0.775
3-5-FPh,-0.6340,-0.1830,-1.2824,0.8384,-0.755
4-MePh,-0.7730,-0.8110,0.2137,-0.9171,-0.594
3-MePh,-0.6150,-0.2500,-0.2137,-0.7355,-0.541
2-FPh,-0.2390,-0.7770,1.2824,0.4723,-0.521
4-OMePh,-0.7700,-0.7880,0.6412,-0.8484,-0.438
Ph,-0.7660,-0.8000,0.0000,-0.2479,-0.316
3-CF3Ph,-0.4350,0.2510,-0.4275,1.0530,-0.311
3-5-MeOPh,-0.5550,-0.0070,-1.0687,-0.1726,-0.247
2-MePh,0.3930,-0.6730,0.0000,-1.4321,-0.247
2-CF3Ph,1.6240,0.3670,-1.0687,1.7289,-0.247
3-OMePh,-0.6570,-0.4030,1.2824,-0.2262,-0.046
2-OMePh,1.0330,0.1570,0.8550,-0.8795,0.345
3-5-CF3Ph,0.0620,1.6040,-0.6412,1.5858,0.601
C6F5,0.3780,-0.1720,1.7099,1.6950,1.013
9-Anth,2.2290,2.5240,-1.7099,-1.4113,1.655
2-6-OMePh,1.9550,2.0230,1.4962,-0.1773,3.110
