Name,BL32-1,BL1-6,BL6-34,BL5-12,BL12-11,BL33-11,BL11-16,BL16-31,BL6-5,BA32-1-6,BA1-6-34,BA1-6-5,BA6-5-12,BA5-12-11,BA12-11-33,BA5-6-34,BA33-11-16,BA11-16-31,BA12-11-16,DA32-1-6-34,DA32-1-6-5,DA1-6-5-12,DA5-12-11-33,DA12-11-16-31,DA33-11-16-31,DA6-5-12-11,NB32-34,NB33-31,NB1-34,NB33-16,NMR 32,NMR1,NMR6,NMR34,NMR33,NMR11,NMR12,NMR5,NMR16,NMR31,q32,q1,q6,q34,q33,q11,q12,q5,q16,q31,HOMO,LUMO,VF5-12,VF6-34,VF11-33,VF1-32,VF16-31,VI5-12,VI6-34,VI11-33,VI1-32,VI16-31,L1R1,B1R1,B5R1,L1R2,B1R2,B5R2,L1R3,B1R3,B5R3,L1R4,B1R4,B5R4,Area, Vol,PSA, Ovality,MW,dipolemoment,RCx,RCy,RCz,BL12-16S,NMR12-S,NMR16-S,q12-S,q16-S,HOMO-S,LUMO-S,VF12-16S,VI12-16S,Area-S, Vol-S,PSA-S, Ovality-S,MW-S,dipolemoment-S,RCx-S,RCy-S,RCz-S,%ee
R118,1.09,1.41,1.38,1.49,1.38,1.37,1.42,1.09,1.38,118.45,117.87,122.52,118.43,118.8,120.28,119.59,117.87,118.2,122.25,0.19,178.59,178.41,0.2,178.33,0.56,52.47,2.59,2.58,2.39,2.38,23.33,62.19,35.26,147.21,170.01,34.27,59.11,58.82,60.54,23.26,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.08,-0.28,0.27,-0.25,-0.02,1525.15,1254.64,1254.64,3244.72,3233.94,100.47,141.97,141.97,3.54,3.85,2,1,1,7.84,1.45,3.87,4.55,1.35,6.76,2,1,1,377.23,386.01,15.78,1.47,385.4,2.93,0.25,0.15,0.11,1.34,66.4,50.62,-0.25,0.14,-0.26,0.01,1756.08,12.36,241.02,218.75,22.35,1.37,189.26,4.71,0.85,0.48,0.33,0
R110,1.09,1.41,1.38,1.49,1.38,1.37,1.41,1.09,1.38,118.48,117.78,122.54,118.5,118.65,120.16,119.65,117.78,118.28,122.33,0.3,178.6,178.54,0.5,178.49,0.64,52.7,2.59,2.58,2.39,2.38,23.31,61.96,35.28,144.98,171.09,34.37,59.61,58.63,61.01,23.33,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1525.7,1384.93,1384.93,3229.56,3224.53,97.82,171.4,171.4,4.78,5.87,2,1,1,7.17,1.96,3.87,5.39,1.35,6.38,2,1,1,392.51,397.44,15.44,1.5,387.42,2.49,0.24,0.15,0.11,1.34,66.4,50.62,-0.25,0.14,-0.26,0.01,1756.08,12.36,241.02,218.75,22.35,1.37,189.26,4.71,0.85,0.48,0.33,1
R134,1.09,1.41,1.38,1.49,1.38,1.37,1.42,1.09,1.38,118.39,117.82,122.55,118.62,119.08,120.68,119.62,117.82,118.14,122.13,0.06,178.8,178.33,0.62,177.55,0.22,52.28,2.59,2.57,2.39,2.38,23.34,62.07,35.57,146.05,167.21,33.81,60.05,58.99,60.5,23.25,0.27,-0.28,0.32,-0.83,-0.83,0.33,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1521.67,1252.37,1252.37,3235.76,3237.19,99.89,154.52,154.52,4.27,4.58,2,1,1,8.84,1.47,3.89,4.93,1.35,7.63,2,1,1,408.26,420.03,15.68,1.51,413.46,2.65,0.24,0.11,0.09,1.34,66.4,50.62,-0.25,0.14,-0.26,0.01,1756.08,12.36,241.02,218.75,22.35,1.37,189.26,4.71,0.85,0.48,0.33,1
R126,1.09,1.41,1.38,1.49,1.38,1.37,1.41,1.09,1.38,118.46,117.75,122.5,118.43,118.61,120.13,119.72,117.75,118.3,122.34,0.49,178.65,178.46,0.38,178.49,0.71,52.56,2.59,2.58,2.39,2.39,23.31,61.99,35.48,140.79,169.69,34.53,59.37,58.69,60.91,23.32,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1525.5,1385.31,1385.31,3225.62,3224.92,99.41,192.88,192.88,5.62,6.31,2,1,1,7.72,2,3.86,4.58,1.35,7.56,2,1,1,392.45,402.63,15.53,1.49,399.43,2.62,0.24,0.13,0.1,1.34,66.4,50.62,-0.25,0.14,-0.26,0.01,1756.08,12.36,241.02,218.75,22.35,1.37,189.26,4.71,0.85,0.48,0.33,3
R102,1.09,1.41,1.38,1.49,1.38,1.37,1.41,1.09,1.38,118.47,117.77,122.55,118.5,118.63,120.18,119.65,117.77,118.3,122.3,0.64,178.79,178.7,0.71,178.28,0.65,52.59,2.59,2.58,2.39,2.39,23.35,62.15,35.66,140.62,171.02,34.78,59.36,58.71,60.88,23.38,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1523.48,1386.47,1386.47,3224.64,3230.77,95.25,157.78,157.78,5.26,8.49,2,1,1,6.57,1.35,3.87,4.58,1.35,5.49,2,1,1,354.56,360.63,15.63,1.45,359.37,2.33,0.26,0.2,0.13,1.34,66.4,50.62,-0.25,0.14,-0.26,0.01,1756.08,12.36,241.02,218.75,22.35,1.37,189.26,4.71,0.85,0.48,0.33,6
R158,1.09,1.41,1.38,1.49,1.38,1.38,1.41,1.09,1.38,118.52,117.94,122.49,118.43,118.56,120.05,119.55,117.94,118.36,122.34,0.22,178.66,178.87,0.51,178.71,0.63,52.79,2.59,2.58,2.39,2.39,23.34,62.04,35.74,141.47,172.69,34.82,59.31,58.56,61.09,23.28,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1526.26,1384.46,1384.46,3232.51,3223.89,97.91,163.72,163.72,6.73,5.36,2,1,1,9.98,2.57,3.87,5.29,1.35,9.75,2,1,1,434.28,449.7,15.51,1.53,447.47,2.21,0.23,0.08,0.07,1.34,66.4,50.62,-0.25,0.14,-0.26,0.01,1756.08,12.36,241.02,218.75,22.35,1.37,189.26,4.71,0.85,0.48,0.33,12
R150,1.09,1.41,1.38,1.49,1.38,1.38,1.41,1.09,1.38,118.5,117.86,122.5,118.55,118.62,120.11,119.62,117.86,118.34,122.34,0.3,178.66,178.73,0.87,178.3,0.59,52.85,2.59,2.58,2.39,2.39,23.32,62.09,35.87,141.95,172.27,34.95,59.14,58.58,60.9,23.33,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1526.07,1384.71,1384.71,3228.01,3224.58,102.04,176.82,176.82,7.88,3.18,2,1,1,11.65,2.09,5.32,4.58,1.35,11.78,2,1,1,466.57,480.84,17.67,1.57,476.52,1.18,0.21,0.06,0.05,1.34,66.4,50.62,-0.25,0.14,-0.26,0.01,1756.08,12.36,241.02,218.75,22.35,1.37,189.26,4.71,0.85,0.48,0.33,17
R236,1.09,1.42,1.37,1.49,1.38,1.38,1.42,1.09,1.38,119.35,120.41,121.42,119.19,119.94,119.46,118.07,118.8,118.5,121.74,4.29,179.66,178.44,2.86,179.67,1.01,100.3,2.66,2.61,2.42,2.4,23.13,62.16,30.99,221.75,227.09,28.06,57.28,59.07,52.11,23.39,0.27,-0.3,0.34,-0.82,-0.83,0.33,-0.08,-0.09,-0.08,0.27,-0.25,-0.01,1099.35,1275.05,1262.78,3219.89,3217.55,56.99,250.5,297.02,19.48,5.05,2,1,1,5.64,1.35,5.5,5.64,1.35,5.5,2,1,1,533.67,545.43,11.14,1.65,514.59,2.77,0.12,0.1,0.09,1.33,61.66,47.91,-0.38,0,-0.31,-0.01,1738.29,229.01,150.24,125.17,46.99,1.24,129.12,10.36,3.09,1.18,0.88,21
R142,1.09,1.41,1.38,1.49,1.38,1.38,1.41,1.09,1.38,118.48,117.73,122.55,118.43,118.64,120.11,119.69,117.73,118.34,122.4,0.61,178.71,178.42,0.45,178.42,0.82,52.55,2.59,2.58,2.39,2.39,23.33,62.15,35.73,141.85,170.07,34.82,59.34,58.8,60.99,23.32,0.27,-0.28,0.32,-0.83,-0.83,0.32,-0.08,-0.09,-0.28,0.27,-0.25,-0.02,1524.66,1385.09,1385.09,3224.15,3227.2,96.85,174.22,174.22,4.58,3.67,2,1,1,7.74,2.01,3.86,4.57,1.35,6.83,2,1,1,384.37,393.64,23.33,1.48,401.4,1.02,0.24,0.13,0.1,1.34,66.4,50.62,-0.25,0.14,-0.26,0.01,1756.08,12.36,241.02,218.75,22.35,1.37,189.26,4.71,0.85,0.48,0.33,23
R324,1.49,1.42,1.4,1.49,1.38,1.39,1.42,1.49,1.38,121.58,117.51,123.89,119.08,119.06,118.46,118.6,117.56,121.37,130.75,0.47,179.65,178.22,1.17,176.57,2.5,53.27,2.84,2.84,2.41,2.41,47.34,47.73,42.59,191.29,186.99,41.03,60.16,59.79,48.37,46.91,-0.07,-0.08,0.33,-0.83,-0.83,0.33,-0.07,-0.07,-0.08,-0.07,-0.26,-0.03,1504.06,1252.48,1252.48,1339.81,1339.81,35.71,103.74,103.74,45.75,45.75,11.6,2.73,4.43,5.23,1.35,3.89,4.92,1.35,3.98,11.6,2.73,4.43,748.78,764.71,51.01,1.85,736.85,4.07,0.05,0.03,0.02,1.28,16.16,-111.2,0.33,-0.49,-0.25,-0.01,1755.16,325.59,269.69,252.96,12.81,1.39,225.29,1.81,1.87,0.17,0.16,32
