Label,N%VBp,N%VBd,Nσyy,Nselectivity
Ru-11,0.9221,0.8299,1.0951,-1.040
Ru-5,1.0331,0.8529,0.6876,-1.040
Ru-2,1.0291,0.8589,0.8329,-1.040
Ru-13,0.3410,1.2828,1.2236,-0.997
Ru-1,1.0231,0.8709,0.8171,-0.997
Ru-14,-0.0751,-0.0190,0.5261,-0.867
Ru-4,1.0471,0.8529,0.7448,-0.824
Ru-8,1.0211,0.8649,0.8168,-0.522
Ru-3,1.0151,0.8649,0.8150,-0.479
Ru-6,0.7611,0.6629,-0.1341,-0.393
Ru-10,0.1790,-0.2160,-0.4930,-0.349
Ru-12,-0.3011,-0.4450,0.9967,-0.306
Ru-15,0.3410,0.7199,0.5235,-0.177
Ru-7,-0.0080,-0.0190,-0.8651,0.255
Ru-9,-0.0201,0.1829,0.3407,0.384
Ru-16,-1.3202,-1.5019,-1.4307,0.859
Ru-21,-1.6493,-1.0050,-0.8253,1.248
Ru-20,-1.6983,-1.9379,-1.0911,1.463
Ru-17,-1.3182,-1.4629,-1.5005,1.463
Ru-18,-1.3672,-1.5179,-1.5438,1.636
Ru-19,-0.9552,-0.7190,-1.5363,1.722
