Label,N%VBp,N%VBd,NνsCO,NνaCO,N103Rh,NddG≠
Rh19,-2.0680,-1.4670,0.9258,1.0760,-0.2109,-2.162
Rh21,-2.6580,-1.5670,1.0270,1.5520,-1.1030,-1.935
Rh18,-1.3760,-1.1210,0.2170,0.1246,0.1079,-1.626
Rh17,0.7140,1.7490,0.4195,-0.8272,-0.6169,-0.754
Rh14,-1.1220,-1.7120,0.2170,0.2436,0.5520,-0.653
Rh15,0.5010,0.8920,-0.7956,-0.5892,0.7233,-0.582
Rh20,-0.1480,0.9330,-0.0868,0.2436,-0.4230,-0.031
Rh10,0.2020,-0.3440,1.9380,2.0280,0.2479,0.002
Rh04,-0.1160,-0.3230,-0.7956,-0.7082,0.8624,0.033
Rh01,-0.4320,-1.3600,-0.9981,-0.8272,0.7254,0.142
Rh06,0.3060,-0.0980,-0.8969,-0.7082,0.5428,0.267
Rh05,0.3040,-0.0980,-0.5931,-0.4702,0.5687,0.298
Rh07,0.4840,0.4070,0.3182,0.3626,0.6777,0.309
Rh02,0.3490,-0.2370,-0.9981,-0.8272,0.6006,0.403
Rh03,0.3700,-0.0920,-0.9981,-0.8272,0.6661,0.428
Rh09,0.8280,0.6260,-0.4918,-0.4702,0.1975,0.430
Rh08,0.6370,0.1880,-0.5931,-0.8272,-0.0685,0.457
Rh11,0.6780,0.3420,-0.7956,-0.7082,0.8290,0.770
Rh13,1.0340,1.1840,2.6470,2.5040,-1.5220,1.217
Rh22,0.6180,0.9660,0.5208,-0.2323,-3.3290,1.340
Rh12,0.894,1.131,-0.1881,-0.1133,-0.0289,1.649
