ID,Spectral_Integral,CN_IP,CN_EA,NN_IP,NN_EA,CN_HOMO,CN_LUMO,NN_HOMO,NN_LUMO,lCN_C_mull,lCN_N_mull,lNN_N1_mull,lNN_N2_mull
CN1_NN20,611504.6017,8.4427,0.1687,7.981,0.8474,-2.8907,-2.3902,-3.947,-3.8515,-0.05627,-0.33488,-0.30166,-0.30171
CN1_NN21,8869.459153,8.4427,0.1687,7.8492,1.5286,-2.8907,-2.3902,-4.655,-4.0396,-0.05627,-0.33488,-0.31417,-0.31568
CN1_NN27,505500.1142,8.4427,0.1687,8.1008,1.1642,-2.8907,-2.3902,-4.1943,-4.0623,-0.05627,-0.33488,-0.29912,-0.29912
CN1_NN3,902870.9788,8.4427,0.1687,8.2182,0.4789,-2.8907,-2.3902,-3.5201,-3.4483,-0.05627,-0.33488,-0.31234,-0.31233
CN1_NN33,1171588.019,8.4427,0.1687,8.1078,0.8006,-2.8907,-2.3902,-3.7366,-3.6003,-0.05627,-0.33488,-0.30808,-0.30812
CN1_NN34,886645.7537,8.4427,0.1687,8.086,0.7446,-2.8907,-2.3902,-3.6716,-3.6051,-0.05627,-0.33488,-0.30053,-0.30049
CN1_NN37,5302.598196,8.4427,0.1687,8.4752,0.6759,-2.8907,-2.3902,-3.4072,-2.9272,-0.05627,-0.33488,-0.3177,-0.31788
CN1_NN4,23763.1308,8.4427,0.1687,8.3098,0.4975,-2.8907,-2.3902,-3.4238,-3.3076,-0.05627,-0.33488,-0.30517,-0.30524
CN1_NN40,1346409.757,8.4427,0.1687,4.0661,-3.8674,-2.8907,-2.3902,1.1956,1.222,-0.05627,-0.33488,-0.36915,-0.33841
CN1_NN41,1110885.115,8.4427,0.1687,4.9774,-2.0076,-2.8907,-2.3902,-0.853,-0.5321,-0.05627,-0.33488,-0.34304,-0.28755
CN1_NN42,542092.7405,8.4427,0.1687,4.6889,-2.1237,-2.8907,-2.3902,-0.5179,0.0024,-0.05627,-0.33488,-0.33576,-0.28946
CN1_NN43,369646.2028,8.4427,0.1687,8.0072,0.7224,-2.8907,-2.3902,-4.2325,-4.1748,-0.05627,-0.33488,-0.30467,-0.30466
CN1_NN47,545309.229,8.4427,0.1687,8.1354,0.7699,-2.8907,-2.3902,-3.8641,-3.75,-0.05627,-0.33488,-0.30405,-0.30405
CN1_NN7,17944.95544,8.4427,0.1687,9.252,1.4466,-2.8907,-2.3902,-4.3783,-4.279,-0.05627,-0.33488,-0.2966,-0.29661
CN101_NN1,47939.18132,7.6591,0.7137,8.5496,0.4248,-3.7548,-3.5556,-3.1219,-2.5647,-0.04128,-0.30654,-0.32717,-0.32754
CN101_NN14,9511.383878,7.6591,0.7137,8.8802,2.4807,-3.7548,-3.5556,-5.0957,-4.2565,-0.04128,-0.30654,-0.27783,-0.27787
CN101_NN2,100325.6495,7.6591,0.7137,8.3959,0.5129,-3.7548,-3.5556,-3.5558,-3.4929,-0.04128,-0.30654,-0.31246,-0.313
CN101_NN20,211948.7346,7.6591,0.7137,7.981,0.8474,-3.7548,-3.5556,-3.947,-3.8515,-0.04128,-0.30654,-0.30166,-0.30171
CN101_NN21,27793.13604,7.6591,0.7137,7.8492,1.5286,-3.7548,-3.5556,-4.655,-4.0396,-0.04128,-0.30654,-0.31417,-0.31568
CN101_NN24,177774.7052,7.6591,0.7137,7.6441,1.3633,-3.7548,-3.5556,-4.6219,-4.4411,-0.04128,-0.30654,-0.29522,-0.29521
CN101_NN26,163058.8698,7.6591,0.7137,8.1436,0.7923,-3.7548,-3.5556,-3.6579,-3.5401,-0.04128,-0.30654,-0.30979,-0.30847
CN101_NN27,119851.523,7.6591,0.7137,8.1008,1.1642,-3.7548,-3.5556,-4.1943,-4.0623,-0.04128,-0.30654,-0.29912,-0.29912
CN101_NN3,327078.4145,7.6591,0.7137,8.2182,0.4789,-3.7548,-3.5556,-3.5201,-3.4483,-0.04128,-0.30654,-0.31234,-0.31233
CN101_NN33,404745.4635,7.6591,0.7137,8.1078,0.8006,-3.7548,-3.5556,-3.7366,-3.6003,-0.04128,-0.30654,-0.30808,-0.30812
