code_name,ddG,sub_volume,sub_NMR_shift_A3_Boltz,cat_NBO_charge_C6_Boltz,cat_Vbur_C12_5.0_Boltz
1a3a,1.32,1378.693364,12.19732549,-0.235269809,69.8958626
1a3e,1.41,1378.693364,12.19732549,-0.236822129,73.52559332
1a3h,0.61,1378.693364,12.19732549,-0.239518285,66.86796076
1a3d,1.29,1378.693364,12.19732549,-0.235457078,67.65229063
1a3i,1.21,1378.693364,12.19732549,-0.23731616,69.09122872
1a3j,1.22,1378.693364,12.19732549,-0.238243411,68.45152737
1a3k,0.64,1378.693364,12.19732549,-0.234013606,66.85987104
1a3l,1.11,1378.693364,12.19732549,-0.237107849,68.95720553
1a3b,1.22,1378.693364,12.19732549,-0.236856411,67.7291456
1a3g,0.93,1378.693364,12.19732549,-0.243396285,62.95329097
1f3a,1.2,1290.776657,9.261539557,-0.235269809,69.8958626
1f3e,1.47,1290.776657,9.261539557,-0.236822129,73.52559332
1f3d,1.13,1290.776657,9.261539557,-0.235457078,67.65229063
1f3i,1.25,1290.776657,9.261539557,-0.23731616,69.09122872
1f3j,1.4,1290.776657,9.261539557,-0.238243411,68.45152737
1f3k,1.08,1290.776657,9.261539557,-0.234013606,66.85987104
1f3l,1.38,1290.776657,9.261539557,-0.237107849,68.95720553
1f3b,1.21,1290.776657,9.261539557,-0.236856411,67.7291456
1f3g,0.61,1290.776657,9.261539557,-0.243396285,62.95329097
1m3a,2.01,1005.837389,17.72100007,-0.235269809,69.8958626
1m3e,1.71,1005.837389,17.72100007,-0.236822129,73.52559332
1m3h,0.68,1005.837389,17.72100007,-0.239518285,66.86796076
1m3i,1.68,1005.837389,17.72100007,-0.23731616,69.09122872
1m3j,1.6,1005.837389,17.72100007,-0.238243411,68.45152737
1m3k,1.15,1005.837389,17.72100007,-0.234013606,66.85987104
1m3l,1.56,1005.837389,17.72100007,-0.237107849,68.95720553
1m3b,1.61,1005.837389,17.72100007,-0.236856411,67.7291456
1m3g,0.7,1005.837389,17.72100007,-0.243396285,62.95329097
1b3a,1.2,1422.56,17.8153,-0.235269809,69.8958626
1b3e,1.28,1422.56,17.8153,-0.236822129,73.52559332
1b3h,0.59,1422.56,17.8153,-0.239518285,66.86796076
1b3d,1.11,1422.56,17.8153,-0.235457078,67.65229063
1b3i,1.18,1422.56,17.8153,-0.23731616,69.09122872
1b3j,1.16,1422.56,17.8153,-0.238243411,68.45152737
1b3k,0.82,1422.56,17.8153,-0.234013606,66.85987104
1b3l,1.11,1422.56,17.8153,-0.237107849,68.95720553
1b3g,0.87,1422.56,17.8153,-0.243396285,62.95329097
1i3a,1.11,1924.437918,15.12024347,-0.235269809,69.8958626
1i3e,1.26,1924.437918,15.12024347,-0.236822129,73.52559332
1i3h,0.61,1924.437918,15.12024347,-0.239518285,66.86796076
1i3d,1.09,1924.437918,15.12024347,-0.235457078,67.65229063
1i3i,1.09,1924.437918,15.12024347,-0.23731616,69.09122872
1i3j,1.01,1924.437918,15.12024347,-0.238243411,68.45152737
1i3l,0.9,1924.437918,15.12024347,-0.237107849,68.95720553
1i3b,1.05,1924.437918,15.12024347,-0.236856411,67.7291456
1i3g,0.75,1924.437918,15.12024347,-0.243396285,62.95329097
1d3a,1.14,1443.273627,22.8172237,-0.235269809,69.8958626
1d3h,0.46,1443.273627,22.8172237,-0.239518285,66.86796076
1d3d,1.12,1443.273627,22.8172237,-0.235457078,67.65229063
1d3i,0.96,1443.273627,22.8172237,-0.23731616,69.09122872
1d3j,0.87,1443.273627,22.8172237,-0.238243411,68.45152737
1d3k,0.57,1443.273627,22.8172237,-0.234013606,66.85987104
1d3l,0.78,1443.273627,22.8172237,-0.237107849,68.95720553
1d3b,1,1443.273627,22.8172237,-0.236856411,67.7291456
1d3g,0.89,1443.273627,22.8172237,-0.243396285,62.95329097
1c3a,1.24,1380.926627,10.246405,-0.235269809,69.8958626
1c3e,1.7,1380.926627,10.246405,-0.236822129,73.52559332
1c3h,0.56,1380.926627,10.246405,-0.239518285,66.86796076
1c3d,1.56,1380.926627,10.246405,-0.235457078,67.65229063
1c3i,1.6,1380.926627,10.246405,-0.23731616,69.09122872
1c3j,1.66,1380.926627,10.246405,-0.238243411,68.45152737
1c3k,1.19,1380.926627,10.246405,-0.234013606,66.85987104
1c3l,1.53,1380.926627,10.246405,-0.237107849,68.95720553
1c3b,1.5,1380.926627,10.246405,-0.236856411,67.7291456
1c3g,0.8,1380.926627,10.246405,-0.243396285,62.95329097
1e3a,1.05,1424.259491,16.35545885,-0.235269809,69.8958626
1e3e,1.19,1424.259491,16.35545885,-0.236822129,73.52559332
1e3h,0.5,1424.259491,16.35545885,-0.239518285,66.86796076
1e3d,1.03,1424.259491,16.35545885,-0.235457078,67.65229063
1e3i,1,1424.259491,16.35545885,-0.23731616,69.09122872
1e3j,0.99,1424.259491,16.35545885,-0.238243411,68.45152737
1e3k,0.55,1424.259491,16.35545885,-0.234013606,66.85987104
1e3l,0.97,1424.259491,16.35545885,-0.237107849,68.95720553
1e3b,1.1,1424.259491,16.35545885,-0.236856411,67.7291456
1q3a,1.14,1628.571034,7.053410464,-0.235269809,69.8958626
1q3h,0.62,1628.571034,7.053410464,-0.239518285,66.86796076
1q3d,1.07,1628.571034,7.053410464,-0.235457078,67.65229063
1q3j,1.26,1628.571034,7.053410464,-0.238243411,68.45152737
1q3k,0.7,1628.571034,7.053410464,-0.234013606,66.85987104
1q3l,1.07,1628.571034,7.053410464,-0.237107849,68.95720553
1q3b,0.99,1628.571034,7.053410464,-0.236856411,67.7291456
1q3g,0.63,1628.571034,7.053410464,-0.243396285,62.95329097
1l3a,0.93,895.9743692,141.653573,-0.235269809,69.8958626
1l3e,1,895.9743692,141.653573,-0.236822129,73.52559332
1l3h,0.38,895.9743692,141.653573,-0.239518285,66.86796076
1l3d,0.98,895.9743692,141.653573,-0.235457078,67.65229063
1l3i,0.8,895.9743692,141.653573,-0.23731616,69.09122872
1l3j,0.6,895.9743692,141.653573,-0.238243411,68.45152737
1l3k,0.38,895.9743692,141.653573,-0.234013606,66.85987104
1l3l,0.74,895.9743692,141.653573,-0.237107849,68.95720553
1l3g,0.57,895.9743692,141.653573,-0.243396285,62.95329097
1k3e,0.62,976.2865476,114.1441588,-0.236822129,73.52559332
1k3h,0.24,976.2865476,114.1441588,-0.239518285,66.86796076
1k3d,0.57,976.2865476,114.1441588,-0.235457078,67.65229063
1k3i,0.59,976.2865476,114.1441588,-0.23731616,69.09122872
1k3j,0.56,976.2865476,114.1441588,-0.238243411,68.45152737
1k3k,0.35,976.2865476,114.1441588,-0.234013606,66.85987104
1k3l,0.5,976.2865476,114.1441588,-0.237107849,68.95720553
1k3b,0.61,976.2865476,114.1441588,-0.236856411,67.7291456
1k3g,0.25,976.2865476,114.1441588,-0.243396285,62.95329097
1h3a,0.9,1717.997366,20.75147284,-0.235269809,69.8958626
1h3e,1,1717.997366,20.75147284,-0.236822129,73.52559332
1h3h,0.41,1717.997366,20.75147284,-0.239518285,66.86796076
1h3d,0.87,1717.997366,20.75147284,-0.235457078,67.65229063
1h3i,0.95,1717.997366,20.75147284,-0.23731616,69.09122872
1h3k,0.39,1717.997366,20.75147284,-0.234013606,66.85987104
1h3l,0.93,1717.997366,20.75147284,-0.237107849,68.95720553
1h3b,0.9,1717.997366,20.75147284,-0.236856411,67.7291456
1h3g,0.41,1717.997366,20.75147284,-0.243396285,62.95329097
1g3a,0.76,1815.18453,20.14980822,-0.235269809,69.8958626
1g3e,0.81,1815.18453,20.14980822,-0.236822129,73.52559332
1g3h,0.18,1815.18453,20.14980822,-0.239518285,66.86796076
1g3d,0.87,1815.18453,20.14980822,-0.235457078,67.65229063
1g3j,0.31,1815.18453,20.14980822,-0.238243411,68.45152737
1g3k,0.05,1815.18453,20.14980822,-0.234013606,66.85987104
1g3l,0.41,1815.18453,20.14980822,-0.237107849,68.95720553
1g3b,0.58,1815.18453,20.14980822,-0.236856411,67.7291456
1g3g,0.74,1815.18453,20.14980822,-0.243396285,62.95329097
1j3a,0.42,1494.254,105.7991,-0.235269809,69.8958626
1j3e,0.46,1494.254,105.7991,-0.236822129,73.52559332
1j3h,0.13,1494.254,105.7991,-0.239518285,66.86796076
1j3d,0.42,1494.254,105.7991,-0.235457078,67.65229063
1j3i,0.4,1494.254,105.7991,-0.23731616,69.09122872
1j3j,0.36,1494.254,105.7991,-0.238243411,68.45152737
1j3k,0.25,1494.254,105.7991,-0.234013606,66.85987104
1j3b,0.43,1494.254,105.7991,-0.236856411,67.7291456
1j3g,0.31,1494.254,105.7991,-0.243396285,62.95329097
1p3a,1.39,1432.382998,6.346185491,-0.235269809,69.8958626
1p3e,1.61,1432.382998,6.346185491,-0.236822129,73.52559332
1p3d,1.29,1432.382998,6.346185491,-0.235457078,67.65229063
1p3j,1.66,1432.382998,6.346185491,-0.238243411,68.45152737
1p3k,1.48,1432.382998,6.346185491,-0.234013606,66.85987104
1p3l,1.52,1432.382998,6.346185491,-0.237107849,68.95720553
1p3b,1.42,1432.382998,6.346185491,-0.236856411,67.7291456
1p3g,0.85,1432.382998,6.346185491,-0.243396285,62.95329097
1o3a,1.36,1146.620782,9.207544991,-0.235269809,69.8958626
1o3e,1.61,1146.620782,9.207544991,-0.236822129,73.52559332
1o3h,0.82,1146.620782,9.207544991,-0.239518285,66.86796076
1o3d,1.34,1146.620782,9.207544991,-0.235457078,67.65229063
1o3i,1.28,1146.620782,9.207544991,-0.23731616,69.09122872
1o3j,1.5,1146.620782,9.207544991,-0.238243411,68.45152737
1o3k,0.81,1146.620782,9.207544991,-0.234013606,66.85987104
1o3l,1.26,1146.620782,9.207544991,-0.237107849,68.95720553
1o3b,1.16,1146.620782,9.207544991,-0.236856411,67.7291456
1n3a,1.5,1082.061517,20.44376019,-0.235269809,69.8958626
1n3h,0.61,1082.061517,20.44376019,-0.239518285,66.86796076
1n3d,1.61,1082.061517,20.44376019,-0.235457078,67.65229063
1n3i,1.54,1082.061517,20.44376019,-0.23731616,69.09122872
1n3j,1.35,1082.061517,20.44376019,-0.238243411,68.45152737
1n3k,1.25,1082.061517,20.44376019,-0.234013606,66.85987104
1n3l,1.29,1082.061517,20.44376019,-0.237107849,68.95720553
1n3b,1.49,1082.061517,20.44376019,-0.236856411,67.7291456
1n3g,0.91,1082.061517,20.44376019,-0.243396285,62.95329097
