id,Z-0_MA_AA,Z-1_MA_AA,Z-2_MA_AA,Z-3_MA_AA,Z-4_MA_AA,Z-5_MA_AA,Z-6_MA_AA,Z-7_MA_AA,Z-8_MA_AA,I-0_MA_AA,I-1_MA_AA,I-2_MA_AA,I-3_MA_AA,I-4_MA_AA,I-5_MA_AA,I-6_MA_AA,I-7_MA_AA,I-8_MA_AA,T-0_MA_AA,T-1_MA_AA,T-2_MA_AA,T-3_MA_AA,T-4_MA_AA,T-5_MA_AA,T-6_MA_AA,T-7_MA_AA,T-8_MA_AA,S-0_MA_AA,S-1_MA_AA,S-2_MA_AA,S-3_MA_AA,S-4_MA_AA,S-5_MA_AA,S-6_MA_AA,S-7_MA_AA,S-8_MA_AA,chi-0_MA_AA,chi-1_MA_AA,chi-2_MA_AA,chi-3_MA_AA,chi-4_MA_AA,chi-5_MA_AA,chi-6_MA_AA,chi-7_MA_AA,chi-8_MA_AA,Z-0_MD_AA,Z-1_MD_AA,Z-2_MD_AA,Z-3_MD_AA,Z-4_MD_AA,Z-5_MD_AA,Z-6_MD_AA,Z-7_MD_AA,Z-8_MD_AA,I-0_MD_AA,I-1_MD_AA,I-2_MD_AA,I-3_MD_AA,I-4_MD_AA,I-5_MD_AA,I-6_MD_AA,I-7_MD_AA,I-8_MD_AA,T-0_MD_AA,T-1_MD_AA,T-2_MD_AA,T-3_MD_AA,T-4_MD_AA,T-5_MD_AA,T-6_MD_AA,T-7_MD_AA,T-8_MD_AA,S-0_MD_AA,S-1_MD_AA,S-2_MD_AA,S-3_MD_AA,S-4_MD_AA,S-5_MD_AA,S-6_MD_AA,S-7_MD_AA,S-8_MD_AA,chi-0_MD_AA,chi-1_MD_AA,chi-2_MD_AA,chi-3_MD_AA,chi-4_MD_AA,chi-5_MD_AA,chi-6_MD_AA,chi-7_MD_AA,chi-8_MD_AA,Z-0_FA_AA,Z-1_FA_AA,Z-2_FA_AA,Z-3_FA_AA,Z-4_FA_AA,Z-5_FA_AA,Z-6_FA_AA,Z-7_FA_AA,Z-8_FA_AA,I-0_FA_AA,I-1_FA_AA,I-2_FA_AA,I-3_FA_AA,I-4_FA_AA,I-5_FA_AA,I-6_FA_AA,I-7_FA_AA,I-8_FA_AA,T-0_FA_AA,T-1_FA_AA,T-2_FA_AA,T-3_FA_AA,T-4_FA_AA,T-5_FA_AA,T-6_FA_AA,T-7_FA_AA,T-8_FA_AA,S-0_FA_AA,S-1_FA_AA,S-2_FA_AA,S-3_FA_AA,S-4_FA_AA,S-5_FA_AA,S-6_FA_AA,S-7_FA_AA,S-8_FA_AA,chi-0_FA_AA,chi-1_FA_AA,chi-2_FA_AA,chi-3_FA_AA,chi-4_FA_AA,chi-5_FA_AA,chi-6_FA_AA,chi-7_FA_AA,chi-8_FA_AA,target_barrier
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_bromide_1_smi1_1_s_1,5929,8855,2772,1386,0,0,0,0,0,1,5,6,18,0,0,0,0,0,25,65,120,90,0,0,0,0,0,1.988,7.008,6.176,7.868,0,0,0,0,0,4.84,29.282,33.66,87.12,0,0,0,0,0,0,270,426,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,72,0,0,0,0,0,0,2.08,4.08,19.8,0,0,0,0,0,0,-2.31,-2.1,0,0,0,0,0,0,9666,20398,16826,9108,3708,648,162,0,0,30,60,114,156,270,108,162,0,0,180,474,732,900,720,432,162,0,0,12.156,33.55,53.983,65.142,62.156,24.44,15.568,0,0,167.578,344.776,615.256,918.738,1521.261,605.88,784.08,0,0,7.6
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_chloride_1_smi1_1_s_1,5929,7469,2772,1386,0,0,0,0,0,1,5,6,18,0,0,0,0,0,25,65,120,90,0,0,0,0,0,1.988,6.754,6.176,7.868,0,0,0,0,0,4.84,29.722,33.66,87.12,0,0,0,0,0,0,288,426,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,72,0,0,0,0,0,0,2.26,4.08,19.8,0,0,0,0,0,0,-2.51,-2.1,0,0,0,0,0,0,8730,17626,13946,7812,3060,648,162,0,0,30,60,114,156,270,108,162,0,0,180,474,732,900,720,432,162,0,0,11.756,33.043,52.626,63.565,60.147,24.44,15.568,0,0,168.802,345.656,619.396,924.858,1537.101,605.88,784.08,0,0,9.3
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-cch_1_smi1_1_s_1,5929,6006,3850,1463,0,0,0,0,0,1,4,8,19,0,0,0,0,0,16,48,108,76,0,0,0,0,0,1.988,5.414,8.136,8.305,0,0,0,0,0,4.84,20.812,46.838,91.96,0,0,0,0,0,0,230,566,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,57,0,0,0,0,0,0,1.8,5.51,20.9,0,0,0,0,0,0,-0.66,-3.69,0,0,0,0,0,0,8514,14784,13202,8614,3624,1240,198,0,0,32,62,114,158,266,194,198,0,0,176,448,696,884,852,590,198,0,0,11.878,31.882,50.706,64.763,64.613,43.078,19.028,0,0,176.661,352.061,596.804,893.39,1447.583,1162.744,958.32,0,0,7.8
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-cn_1_smi1_1_s_1,5929,6006,3927,1386,0,0,0,0,0,1,4,8,18,0,0,0,0,0,16,48,104,72,0,0,0,0,0,1.988,5.414,8.108,7.868,0,0,0,0,0,4.84,20.812,47.916,87.12,0,0,0,0,0,0,230,565,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,54,0,0,0,0,0,0,1.8,5.53,19.8,0,0,0,0,0,0,-0.66,-4.18,0,0,0,0,0,0,8526,14784,13344,8604,3568,1188,162,0,0,31,60,112,156,260,180,162,0,0,172,440,684,856,782,504,162,0,0,11.753,31.4,50.197,63.765,62.483,39.73,15.568,0,0,174.56,343.34,587.74,890.482,1435.544,1119.096,784.08,0,0,5.4
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-icn_1_smi1_1_s_1,5929,6083,3850,2002,0,0,0,0,0,1,4,8,19,0,0,0,0,0,16,48,108,76,0,0,0,0,0,1.988,5.386,8.136,8.798,0,0,0,0,0,4.84,21.89,46.838,94.688,0,0,0,0,0,0,229,566,1437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,57,0,0,0,0,0,0,1.82,5.51,20.55,0,0,0,0,0,0,-1.15,-3.69,-1.24,0,0,0,0,0,8590,15034,13446,9780,4668,1856,450,0,0,32,62,114,158,266,194,198,0,0,176,448,696,884,852,590,198,0,0,12.189,32.307,51.067,65.549,66.567,46.606,22.934,0,0,186.394,363.04,613.271,917.211,1503.528,1209.219,1056.528,0,0,13.3
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,5929,6083,3850,2618,0,0,0,0,0,1,4,8,19,0,0,0,0,0,16,48,108,76,0,0,0,0,0,1.988,5.386,8.136,9.348,0,0,0,0,0,4.84,21.89,46.838,92.796,0,0,0,0,0,0,229,566,1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,57,0,0,0,0,0,0,1.82,5.51,20.16,0,0,0,0,0,0,-1.15,-3.69,-0.38,0,0,0,0,0,8782,15130,13558,11012,5820,2560,738,0,0,32,62,114,158,266,194,198,0,0,176,448,696,884,852,590,198,0,0,12.855,32.877,51.62,66.648,68.993,50.537,27.286,0,0,181.216,358.654,608.042,913.427,1491.643,1176.986,988.416,0,0,12.1
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,5929,7315,3388,1386,0,0,0,0,0,1,6,7,18,0,0,0,0,0,36,102,150,108,0,0,0,0,0,1.988,7.247,7.106,7.868,0,0,0,0,0,4.84,37.026,41.228,87.12,0,0,0,0,0,0,367,495,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,90,0,0,0,0,0,0,3.32,4.83,19.8,0,0,0,0,0,0,-3.63,-3.34,0,0,0,0,0,0,8618,17542,14842,9092,3564,936,162,0,0,32,66,124,178,318,144,162,0,0,204,568,884,1158,912,468,162,0,0,12.091,35.904,57.152,72.452,69.835,31.806,15.568,0,0,191.725,402.094,699.884,1124.696,1905.309,878.328,784.08,0,0,5.2
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-oh_1_smi1_1_s_1,5929,6160,3465,1386,0,0,0,0,0,1,4,8,18,0,0,0,0,0,16,48,104,72,0,0,0,0,0,1.988,5.316,7.544,7.868,0,0,0,0,0,4.84,22.77,46.068,87.12,0,0,0,0,0,0,228,571,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,54,0,0,0,0,0,0,1.87,5.93,19.8,0,0,0,0,0,0,-1.55,-3.34,0,0,0,0,0,0,8506,15024,12708,7916,3112,972,162,0,0,31,60,112,156,260,180,162,0,0,172,440,684,856,782,504,162,0,0,11.248,30.575,48.634,60.571,57.67,35.266,15.568,0,0,175.49,346.888,596.344,912.23,1474.549,1052.568,784.08,0,0,14.2
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,5929,6776,3465,1386,0,0,0,0,0,1,4,8,18,0,0,0,0,0,16,48,104,72,0,0,0,0,0,1.988,5.866,7.544,7.868,0,0,0,0,0,4.84,20.878,46.068,87.12,0,0,0,0,0,0,220,571,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,54,0,0,0,0,0,0,1.48,5.93,19.8,0,0,0,0,0,0,-0.69,-3.34,0,0,0,0,0,0,8698,16272,13860,8620,3400,972,162,0,0,31,60,112,156,260,180,162,0,0,172,440,684,856,782,504,162,0,0,11.915,31.917,51.06,64.502,62.023,35.266,15.568,0,0,170.312,339.32,584.458,879.997,1406.437,1052.568,784.08,0,0,6
ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_fluoride_1_smi1_1_s_1,5929,6853,2772,1386,0,0,0,0,0,1,5,6,18,0,0,0,0,0,25,65,120,90,0,0,0,0,0,1.988,6.119,6.176,7.868,0,0,0,0,0,4.84,31.526,33.66,87.12,0,0,0,0,0,0,296,426,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,72,0,0,0,0,0,0,2.71,4.08,19.8,0,0,0,0,0,0,-3.33,-2.1,0,0,0,0,0,0,8522,16394,12666,7236,2772,648,162,0,0,30,60,114,156,270,108,162,0,0,180,474,732,900,720,432,162,0,0,11.041,31.774,49.233,59.623,55.125,24.44,15.568,0,0,174.656,349.264,636.37,949.95,1602.045,605.88,784.08,0,0,15.3
