Label,N%VBp,N%VBd,NNBOC=O,NνC=O,NddG≠
L05,-1.2050,-2.0490,-1.7803,-2.8110,-1.617
L53,-1.2180,-0.2810,-0.3338,-1.2348,-1.327
L32,0.4269,-0.8910,1.1127,0.2342,-1.265
L38,0.0759,-1.3980,0.9519,0.1904,-1.171
L52,0.5589,-0.5540,1.1127,0.1838,-1.139
L39,0.1129,-0.2570,0.7912,0.2145,-1.039
L15,-1.1110,-0.1280,-1.2981,-2.3447,-0.937
L45,-1.5630,-0.0400,-0.3338,-0.1073,-0.864
L51,1.0779,0.4349,1.4341,0.3458,-0.467
L50,0.5599,1.0529,1.2734,0.2167,-0.467
L47,-0.0831,0.2500,-0.8160,-1.7033,-0.467
L40,1.7658,-0.7310,1.4341,0.6917,-0.333
L41,1.2549,-0.0720,1.2734,0.8887,-0.079
L43,-1.4570,-0.8110,-0.8160,-0.1183,0.031
L11,-1.1560,-0.6260,-0.9767,-0.5233,0.215
L49,1.9648,0.9649,1.4341,0.6107,0.349
L42,-1.9040,-1.2610,-1.2981,-0.2934,0.349
L46,0.0559,-0.0150,-0.8160,-0.0088,0.658
L44,-0.1001,-0.6420,-0.1731,0.7596,0.748
L54,0.0559,0.0250,0.3091,0.9522,0.942
L48,0.0829,-0.0150,0.1483,0.9763,1.049
L37,0.3819,2.3959,-0.8160,0.2561,1.049
L36,0.4989,1.6799,-0.3338,0.8778,1.294
L35,0.1249,0.7559,-0.4945,0.7442,1.294
L34,0.3769,1.3509,-0.8160,0.0109,1.433
L33,0.4219,0.8609,-0.1731,0.9916,1.763
