LNiArCl,ddG,Pol,NBON1,NBOC4
L9,0.92,226.7,-0.428,-0.612
L10,0.9,346.4,-0.433,-0.4
L2,1.63,272.6,-0.434,-0.227
L11,0.94,296.6,-0.433,-0.402
L12,1.68,295.1,-0.435,-0.223
L3,1.74,366,-0.435,-0.221
L13,1.18,266.9,-0.427,-0.252
L14,1.58,331.8,-0.432,-0.239
L15,1.1,328.1,-0.421,-0.051
L1,0.8,350.5,-0.427,-0.423
L16,0.86,387,-0.427,-0.419
L17,0.86,377.2,-0.427,-0.422
L19,0.77,461.5,-0.427,-0.42
L18,0.86,385.1,-0.429,-0.429
L20,0.88,381.9,-0.431,-0.423
L21,0.65,422.6,-0.428,-0.423
L22,0.8,469.8,-0.43,-0.433
L23,0.9,420.2,-0.431,-0.431
L24,0.73,445.2,-0.43,-0.43
L25,0.7,478.8,-0.434,-0.288
L6,1.68,512.4,-0.445,-0.224
L7,1.49,416.5,-0.444,-0.224
L8,1.15,442.1,-0.433,-0.224
L26,1.49,519.9,-0.447,-0.223
L27,1.45,444.7,-0.435,-0.224
L28,1.15,304.8,-0.438,-0.23
L29,1.53,435.15,-0.451,-0.224
L4,1.58,318.03,-0.445,-0.223
L5,1.74,342.35,-0.449,-0.2235
