Label,N%VBp,N%VBd,NdG
01_Zr,-1.0481,-2.6886,-1.675
02_Zr,-2.9512,-2.1137,-3.188
03_Zr,-2.7522,-1.4048,-1.950
04_Zr,-1.6501,-1.9787,-1.950
05_Zr,-1.0041,-1.4088,-1.331
06_Zr,-0.7321,-1.7627,-0.919
07_Zr,-0.7171,-1.1428,-0.919
08_Zr,0.3410,-0.8889,-0.438
09_Zr,0.8550,0.1410,-0.025
10_Zr,0.9360,-0.3789,0.181
11_Zr,-1.8341,-1.0988,-1.607
12_Zr,-1.6651,-0.6739,-0.988
13_Zr,-0.7021,-0.5299,-0.300
14_Zr,-0.1511,-0.8129,-0.369
15_Zr,-0.6801,-0.8669,-0.506
16_Zr,-0.4231,-0.1270,-0.369
17_Zr,-1.0111,-0.5709,-0.988
18_Zr,0.4220,-0.0310,0.456
19_Zr,-0.3861,0.4740,0.181
20_Zr,0.8330,0.3810,0.388
21_Zr,0.5250,0.0830,0.456
22_Zr,0.6350,0.8539,0.869
23_Zr,0.6940,0.7309,1.075
24_Zr,0.3630,0.9259,0.594
25_Zr,0.8190,0.9829,0.663
26_Zr,0.5470,0.6989,0.388
27_Zr,0.5910,0.8289,0.663
28_Zr,0.2230,0.9619,1.144
29_Zr,0.5320,0.7519,0.113
30_Zr,0.6280,0.6309,0.456
31_Zr,0.4660,0.3970,0.525
32_Zr,0.8040,0.3450,0.250
33_Zr,1.1270,1.1419,1.144
34_Zr,0.7300,0.8519,1.075
35_Zr,0.5690,0.7129,0.731
36_Zr,0.3260,0.4570,0.456
37_Zr,0.7970,0.5709,0.319
38_Zr,0.7230,0.7329,0.869
39_Zr,0.6790,0.7189,0.731
40_Zr,0.6790,0.7189,0.800
41_Zr,0.7230,0.7369,0.869
42_Zr,-0.0480,0.9819,0.250
43_Zr,0.7160,0.7349,0.869
44_Zr,0.4730,0.9329,1.006
