Coupling,ln(k)_rate,NBO-C1 C=O_anion_boltz,Vbur-2.0A_anion_boltz,IR-freq-C=O_interm_boltz,Sterimol-B1-N1-C4_amine_boltz
Ac13-N16,-4.216512196,0.83572,87.29720039,1739.45434,1.925297439
Ac9-N9,-3.998125704,0.78197,88.06239393,1763.976767,2.112935897
Ac17-N14,-3.830443018,0.81354,88.25029965,1766.764619,1.925841458
Ac5-N6,-3.610068274,0.81847,89.5751324,1773.928111,1.796887292
Ac13-N1,-3.429596856,0.83572,87.29720039,1739.45434,1.741608587
Ac17-N5,-3.39620984,0.81354,88.25029965,1766.764619,1.985045364
Ac7-N14,-3.379925246,0.79893466,88.51134675,1785.707933,1.925841458
Ac6-N15,-2.758291418,0.826300002,88.91026904,1773.605116,1.746078034
Ac5-N2,-2.569158202,0.81847,89.5751324,1773.928111,1.7
Ac6-N4,-2.167180456,0.826300002,88.91026904,1773.605116,1.808569748
Ac17-N6,-1.973641123,0.81354,88.25029965,1766.764619,1.796887292
Ac4-N7,-1.23048791,0.78317,90.21519914,1766.784698,1.7505709
Ac5-N15,-2.640858952,0.81847,89.5751324,1773.928111,1.746078034
Ac4-N3,-1.100363822,0.78317,90.21519914,1766.784698,1.852308703
Ac17-N2,-0.716313459,0.81354,88.25029965,1766.764619,1.7
Ac1-N10,-0.522982554,0.791253592,88.01249792,1790.916724,2.003152874
Ac17-N3,-0.482481151,0.81354,88.25029965,1766.764619,1.852308703
Ac15-N5,-0.442077227,0.74986,87.20359145,1762.585214,1.985045364
Ac20-N11,-0.396009949,0.75925,87.23678412,1747.969794,2.011602607
Ac22-N11,-0.286749174,0.76646,88.08682597,1796.504207,2.011602607
Ac4-N2,-0.284885985,0.78317,90.21519914,1766.784698,1.7
Ac16-N1,-0.262729331,0.78459,87.30201412,1749.246673,1.741608587
Ac1-N12,-0.232499684,0.791253592,88.01249792,1790.916724,1.732529755
Ac7-N15,-0.127492521,0.79893466,88.51134675,1785.707933,1.746078034
Ac21-N9,0.068779515,0.76071,87.23029979,1749.692406,2.112935897
Ac17-N15,0.114756237,0.81354,88.25029965,1766.764619,1.746078034
Ac19-N8,0.140022778,0.793809422,87.94079776,1788.65116,1.7
Ac9-N6,0.20859828,0.78197,88.06239393,1763.976767,1.796887292
Ac1-N6,0.449354394,0.791253592,88.01249792,1790.916724,1.796887292
Ac15-N16,0.821452441,0.74986,87.20359145,1762.585214,1.925297439
Ac22-N14,0.975954893,0.76646,88.08682597,1796.504207,1.925841458
Ac11-N10,1.058796732,0.71018,89.13534691,1772.145482,2.003152874
Ac18-N12,1.276591096,0.74463,87.16652038,1732.108671,1.732529755
Ac15-N15,1.397938801,0.74986,87.20359145,1762.585214,1.746078034
Ac10-N11,1.578359957,0.75914,88.56782184,1806.896811,2.011602607
Ac12-N6,1.58314527,0.7461,87.12254479,1748.274241,1.796887292
Ac8-N3,1.584899288,0.7705,87.17531194,1742.109174,1.852308703
Ac8-N13,1.644438194,0.7705,87.17531194,1742.109174,1.744693151
Ac12-N3,1.787090252,0.7461,87.12254479,1748.274241,1.852308703
Ac2-N8,1.799123951,0.788327506,87.16257405,1789.566069,1.7
Ac3-N7,1.91348288,0.78027,87.3864621,1768.921645,1.7505709
Ac2-N13,1.963307926,0.788327506,87.16257405,1789.566069,1.744693151
Ac8-N6,2.059959238,0.7705,87.17531194,1742.109174,1.796887292
Ac14-N13,2.305251535,0.81384,87.37861902,1799.56293,1.744693151
