Name,IF,g3,SS,SGBP,Hardness,Hvapor
3-Chlorobiphenyl,5155.712182,169.0205792,69.91409,637.09491,0.308859,74.3
4-Chlorobiphenyl,5155.573881,148.1919051,69.81467,637.06127,0.289335,71.6
"2,2prime-Dichlorobiphenyl",7335.521412,164.1925843,55.2655,740.609,0.335502,72.6
"2,3-Dichlorobiphenyl",7335.438844,164.6415871,55.21398,740.59158,0.318685,73.4
"2,3prime-Dichlorobiphenyl",7335.655698,167.8778325,55.29424,740.63454,0.315586,77.8
"2,4-Dichlorobiphenyl",7335.641197,165.6496185,55.28842,740.63601,0.311422,75.4
"2,4prime-Dichlorobiphenyl",7335.640527,165.9752906,55.28626,740.63179,0.310096,76.5
"3,3prime-Dichlorobiphenyl",7335.714669,152.9047235,55.32234,740.65414,0.304095,81
"3,4-Dichlorobiphenyl",7335.512128,170.535367,55.24334,740.61529,0.300158,79.5
"3,4prime-Dichlorobiphenyl",7335.701089,170.5697235,55.31604,740.65343,0.299372,82
"4,4prime-Dichlorobiphenyl",7335.696206,152.499661,55.31261,740.65411,0.294904,81.4
"2,2prime,3-Trichlorobiphenyl",9515.298642,164.2199363,40.58878,844.12292,0.326144,79.9
"2,2prime,4-Trichlorobiphenyl",9515.525733,165.3396919,40.67061,844.17128,0.322233,81.6
"2,2prime,5-Trichlorobiphenyl",9515.500686,164.435106,40.66656,844.17104,0.319932,80.2
"2,2prime,6-Trichlorobiphenyl",9515.278867,163.8863863,40.5862,844.11483,0.328725,81
"2,3,3prime-Trichlorobiphenyl",9515.445446,168.3617765,40.62538,844.15274,0.31486,93.7
"2,3,4prime-Trichlorobiphenyl",9515.427448,166.398345,40.61676,844.14925,0.308782,81
"2,3,4-Trichlorobiphenyl",9515.236587,165.856837,40.53959,844.10799,0.310051,88.6
"2,3,6-Trichlorobiphenyl",9515.324123,161.2430067,40.5817,844.13283,0.325741,89.2
"2,3prime,4prime-Trichlorobiphenyl",9515.444325,170.4039162,40.62284,844.15324,0.306806,88.3
"2,3prime,4-Trichlorobiphenyl",9515.6454,169.8209056,40.69695,844.19576,0.307532,93.2
"2,3prime,5prime-Trichlorobiphenyl",9515.649336,169.4610405,40.69915,844.19595,0.312026,83.3
"2,3prime,5-Trichlorobiphenyl",9515.631744,167.8875673,40.69662,844.19674,0.307074,89.4
"2,4,4prime-Trichlorobiphenyl",9515.633487,167.4232605,40.69007,844.19296,0.302183,89.3
"2,4prime,5-Trichlorobiphenyl",9515.616439,166.3854901,40.68855,844.19346,0.302775,91.2
"2,4prime,6-Trichlorobiphenyl",9515.582262,161.255774,40.66872,844.17797,0.324646,82.9
"2,2prime,3,3prime-Tetrachlorobiphenyl",11695.07044,167.3085976,25.91035,947.63595,0.323373,94.7
"2,2prime,3,4prime-Tetrachlorobiphenyl",11695.2987,165.3969102,25.99256,947.68401,0.319205,95.2
"2,2prime,3,4-Tetrachlorobiphenyl",11695.08684,165.7189556,25.913,947.63845,0.32085,90.5
"2,2prime,3,5prime-Tetrachlorobiphenyl",11695.27001,166.4022422,25.98919,947.68446,0.316382,84.4
"2,2prime,3,6prime-Tetrachlorobiphenyl",11695.04431,166.5816928,25.90769,947.62653,0.32261,85.9
"2,2prime,3,6-Tetrachlorobiphenyl",11695.01832,165.5896906,25.90489,947.62832,0.319817,80.5
"2,2prime,4,4prime-Tetrachlorobiphenyl",11695.52402,167.0179323,26.07476,947.73262,0.31565,90.3
"2,2prime,4,5prime-Tetrachlorobiphenyl",11695.49482,166.0880929,26.07103,947.7327,0.31349,87.4
