code_name,LOGID50,E_HOMO(N-1),p2p(R)_BCP2,p2p(R)_BCP5,Q_Hirshfeld_H4,Qyy_C1,sum_q-meta
1,0.696558984,0.2339,0.2779,0.5018,0.2865,0.5909,0.1545
2,0.326139878,0.4825,0.4472,0.4067,0.4444,0.8433,0.1545
3,0.612342917,0.4686,0.3596,0.2093,0.5322,0.7446,0.1545
4,0.410553326,0.5907,0.3466,0.5315,0.5263,0.5658,0.1545
5,0.838673597,0.9861,0.3207,0.2235,0.2982,0.8673,0.1545
6,0.262319889,0.2605,0.3237,0.2426,0.614,0.7131,0.1545
7,0.481084282,0.1785,0.3396,0.5898,0.4035,0.5904,0.1545
8,0.44437134,0.4293,0.5289,0.1819,0.5673,0.7351,0.1637
9,0.428515034,0.5032,0.6763,0.2509,0.4854,0.9249,0.1545
10,0.789723008,1,0.3367,0.371,0.538,0.7306,0.7679
11,0.615764195,0.9173,0.4333,0.4958,0.2456,0.6034,0.1584
12,1,0.604,0.4721,0.5826,0.2398,0.6009,0.7978
13,0.719060465,0.7468,0.2839,0.4863,0.2105,0.6264,0.1545
14,0.69734851,0.2679,0.3486,0.4851,0.1637,0.654,0.1545
15,0.570234884,0.7312,0.7918,0.2497,0.0819,0.9389,0.1545
16,0.733535101,0.6922,0.8088,0.3888,0.4971,0.7021,1
17,0.773340351,0.6269,0.2629,0.5137,0,0.7206,0.1545
18,0.068096585,0.0345,0.011,0.3853,0.6023,0.7561,0.1545
19,0.870517797,0.6888,0.2789,0,0.655,0.696,0.971
20,0.38120929,0.6698,0.3586,0.5815,0.4152,0.5909,0.1545
21,0.169221659,0.2701,0.0378,0.4566,0.5614,0.7646,0
22,0.437068228,0.8335,1,0.1748,0.4444,0.8753,0.3211
23,0.452924535,0.344,0.0269,0.3757,0.345,0.7907,0.1545
24,0.497006382,0.0974,0,0.39,0.4094,0.7997,0.1545
25,0.467859728,0.2404,0.005,0.3686,0.3977,0.7937,0.1545
26,0.422462004,0.1104,0.0329,0.4304,0.3977,0.7952,0.1545
27,0.442068557,0.6536,0.6683,1,0.5029,0.5719,0.7572
28,0.596091848,0.8691,0.9382,0.2913,0.0351,0.9935,0.1545
29,0.021317192,0.5643,0.5767,0.1344,0.7661,0.69,0.2438
30,0.204750313,0.8416,0.6155,0.0392,1,0.6435,0.5651
31,0.496019475,0.1724,0.0528,0.3543,0.3509,0.8097,0.1545
32,0.48555826,0.4666,0.0329,0.3888,0.3509,0.8072,0.1545
33,0.470623067,0.161,0.0369,0.3853,0.3509,0.8107,0.1545
34,0.439765774,0.11,0.0209,0.39,0.3918,0.7962,0.1545
35,0.357523521,0.6883,0.2341,0.1843,0.3626,0.8042,0.1545
36,0.46720179,0.7099,0.6833,0.2176,0.731,0.7591,0.9068
37,0.36857688,0.4886,0.7181,0.264,0.5556,0.8398,0.9193
