name,rr_ddg,P2_NMR_cmax,P2_Pd_bond_occ_boltz,NoPd_P_R2_bond_eng_Max_boltz
pp000008e-PdCl2,1.89,119.5496,1.855058774,-0.471816289
pp000009-PdCl2,1.81,124.9492,1.855488894,-0.471236586
pp000015-PdCl2,0.78,106.5721,1.865416964,-0.506607929
pp000027-PdCl2,0.79,128.6403,1.856708575,-0.485490914
pp000033-PdCl2,0.7,135.926,1.856033301,-0.477790236
pp000036-PdCl2,1.82,118.3607,1.855574554,-0.475830007
pp000052-PdCl2,0.1,144.0995,1.847803433,-0.467383064
pp000061-PdCl2,1.51,136.6811,1.854237607,-0.466459839
pp000062-PdCl2,2.21,131.3428,1.855087144,-0.468212281
pp000068-PdCl2,-0.28,163.7079,1.865903066,-0.471181144
pp000076e-PdCl2,1.66,124.0337,1.856027292,-0.470076035
pp000098-PdCl2,1.3,128.3533,1.854267677,-0.462852134
pp000103-PdCl2,0.1,144.5939,1.854177035,-0.46986205
pp000105-PdCl2,0.8,90.1441,1.847976938,-0.483745866
pp000118-PdCl2,1.14,115.6122,1.853070601,-0.481229114
pp000130-PdCl2,2.08,122.4291,1.854489888,-0.470482772
pp000132-PdCl2,2.78,124.9358,1.854479713,-0.470478167
pp000149-PdCl2,0.27,142.0841,1.847694304,-0.457761156
pp000248-PdCl2,2.75,124.5186,1.853849856,-0.468748421
pp000429-PdCl2,-0.25,128.7173,1.848055984,-0.475322516
pp000436-PdCl2,0.76,130.2675,1.846283252,-0.474217852
pp000437-PdCl2,1.85,129.021,1.854875299,-0.457539249
pp000443-PdCl2,2.12,122.0146,1.855716696,-0.47086337
pp000444-PdCl2,2.36,121.5834,1.845829176,-0.448926013
pp000446-PdCl2,2.67,135.3521,1.850403384,-0.450617463
pp000447-PdCl2,2.06,142.1663,1.853110671,-0.447782667
pp000449-PdCl2,2.68,139.0821,1.849834006,-0.449086478
pp000458-PdCl2,1.31,133.6596,1.854429469,-0.473581462
pp000462-PdCl2,2.38,107.181,1.843874115,-0.463041313
pp000473-PdCl2,1.7,125.2911,1.856428288,-0.47671922
pp000477-PdCl2,1.91,126.4719,1.855156565,-0.474376994
pp000478-PdCl2,0.88,90.6469,1.85801,-0.51523
pp000479e-PdCl2,1.23,122.4695,1.854224287,-0.478178572
pp000485-PdCl2,1.57,131.9912,1.854267488,-0.474836906
pp000515-PdCl2,2.16,137.5075,1.853207597,-0.443548082
pp000532-PdCl2,0.57,116.5267,1.845909872,-0.482764936
pp000533-PdCl2,1.44,115.2347,1.847748806,-0.476259668
pp000534-PdCl2,1.27,144.4371,1.849771246,-0.455467427
pp000544-PdCl2,1.11,132.1183,1.855817553,-0.470072249
pp000565-PdCl2,1.25,99.4857,1.862016914,-0.496614721
pp000567-PdCl2,1.13,134.3799,1.854950208,-0.474813286
pp000569-PdCl2,1.28,91.8172,1.85647872,-0.512577763
pp000570e-PdCl2,-0.18,140.7159,1.84908359,-0.466869423
pp000571e-PdCl2,-0.02,141.9788,1.847829674,-0.461280189
pp000572e-PdCl2,0.19,143.1365,1.847825752,-0.463930094
pp000573-PdCl2,0.98,122.3893,1.848980723,-0.464487844
pp000574-PdCl2,1.93,121.1554,1.85439167,-0.470466443
pp000575e-PdCl2,1.93,120.2505,1.855216675,-0.471258335
pp000576e-PdCl2,0.24,143.281,1.850875803,-0.465270975
pp000597-PdCl2,2.31,133.2362,1.851427198,-0.4402971
