Name,Ig,g1,g2, EA,Hardness,logKOW
3-Chlorobiphenyl,5.13574889,17.82470569,-76.91025879,-0.00572,0.308859,4.66
4-Chlorobiphenyl,2.91356669,20.03927281,-59.33957148,0.002822,0.289335,4.63
"2,2prime-Dichlorobiphenyl",4.0178056,19.18045882,-70.38324964,-0.019824,0.335502,4.72
"2,3-Dichlorobiphenyl",4.53552049,20.08300447,-73.70587773,-0.007351,0.318685,4.99
"2,3prime-Dichlorobiphenyl",4.5840512,18.90054298,-74.10880025,-0.00537,0.315586,4.84
"2,4-Dichlorobiphenyl",4.65446046,19.8134884,-74.5120589,-0.005353,0.311422,5.15
"2,4prime-Dichlorobiphenyl",4.67962314,19.73878835,-74.62298025,-0.005297,0.310096,5.09
"3,3prime-Dichlorobiphenyl",3.20883346,21.16007003,-64.36637364,0.003869,0.304095,5.27
"3,4-Dichlorobiphenyl",5.12489581,18.88874271,-77.54434398,0.001532,0.300158,5.23
"3,4prime-Dichlorobiphenyl",5.15628383,18.85981367,-77.78839125,0.003393,0.299372,5.15
"4,4prime-Dichlorobiphenyl",2.97018129,19.63885185,-60.51939164,0.002783,0.294904,5.23
"2,2prime,3-Trichlorobiphenyl",4.36795152,20.94650308,-72.92212425,-0.009841,0.326144,5.12
"2,2prime,4-Trichlorobiphenyl",4.13831754,20.39355704,-71.83426614,-0.006663,0.322233,5.39
"2,2prime,5-Trichlorobiphenyl",4.40010637,20.86142325,-73.20708728,-0.006888,0.319932,5.33
"2,2prime,6-Trichlorobiphenyl",4.36431741,21.08764683,-72.88163922,-0.011767,0.328725,5.04
"2,3,3prime-Trichlorobiphenyl",4.40636108,20.10192692,-73.75798017,0.001104,0.31486,5.6
"2,3,4prime-Trichlorobiphenyl",4.56946133,21.05407227,-74.73160949,0.001372,0.308782,5.29
"2,3,4-Trichlorobiphenyl",4.51034775,21.21792136,-74.28183002,-0.000303,0.310051,5.68
"2,3,6-Trichlorobiphenyl",4.31693398,22.39873738,-72.65867227,-0.009291,0.325741,5.44
"2,3prime,4prime-Trichlorobiphenyl",4.66089565,19.75828102,-75.4540768,0.001829,0.306806,5.71
"2,3prime,4-Trichlorobiphenyl",4.65979813,19.84783696,-75.36941633,0.003324,0.307532,5.54
"2,3prime,5prime-Trichlorobiphenyl",4.58384595,19.84633357,-75.03280391,0.003817,0.312026,5.71
"2,3prime,5-Trichlorobiphenyl",4.58396467,20.27075128,-74.71772822,0.004237,0.307074,5.65
"2,4,4prime-Trichlorobiphenyl",4.69137095,20.77632299,-75.47095602,0.00339,0.302183,5.71
"2,4prime,5-Trichlorobiphenyl",4.61497926,21.07779979,-75.01444197,0.004325,0.302775,5.68
"2,4prime,6-Trichlorobiphenyl",4.36453819,22.33882838,-72.93317957,-0.00843,0.324646,5.24
"2,2prime,3,3prime-Tetrachlorobiphenyl",3.74885772,20.61237059,-69.9793224,-0.005878,0.323373,5.67
"2,2prime,3,4prime-Tetrachlorobiphenyl",4.35064275,22.04885525,-73.65187444,-0.000933,0.319205,5.72
"2,2prime,3,4-Tetrachlorobiphenyl",4.36301245,22.01539609,-73.6336017,-0.002414,0.32085,5.79
"2,2prime,3,5prime-Tetrachlorobiphenyl",4.2418563,21.24086862,-72.44497428,-0.001135,0.316382,5.73
"2,2prime,3,6prime-Tetrachlorobiphenyl",4.20806049,21.23300906,-72.25859037,-0.006129,0.32261,4.84
"2,2prime,3,6-Tetrachlorobiphenyl",4.34027599,22.10096735,-73.53747524,-0.005206,0.319817,4.84
"2,2prime,4,4prime-Tetrachlorobiphenyl",4.04346311,21.29538199,-72.20078431,0.001924,0.31565,5.94
"2,2prime,4,5prime-Tetrachlorobiphenyl",4.38082317,21.86746962,-73.97575129,0.001706,0.31349,5.87
"2,2prime,4,5-Tetrachlorobiphenyl",4.37902501,21.87574426,-73.84215414,0.001058,0.313979,5.69
"2,2prime,4,6prime-Tetrachlorobiphenyl",4.4086869,22.11858122,-74.10928328,-0.00332,0.322027,5.51
"2,2prime,4,6-Tetrachlorobiphenyl",4.37027979,22.08740111,-73.64797221,-0.002051,0.323273,5.75
"2,2prime,5,5prime-Tetrachlorobiphenyl",3.84617112,21.31894383,-70.9940322,-0.001252,0.315542,5.79
"2,2prime,5,6prime-Tetrachlorobiphenyl",4.15370447,21.78258281,-72.19325364,-0.003508,0.317777,5.55
"2,2prime,6,6prime-Tetrachlorobiphenyl",3.80384906,20.45048083,-70.76772085,-0.010682,0.328837,5.24
"2,3,3prime,4-Tetrachlorobiphenyl",4.46604883,21.17072174,-74.85370568,0.007658,0.306861,6.1
"2,3,4,4prime-Tetrachlorobiphenyl",4.54767661,22.16573297,-75.31055838,-0.001323,0.3103,6.24
"2,3,4prime,5-Tetrachlorobiphenyl",4.4855991,22.41165416,-75.04550027,0.010664,0.301501,6.1
"2,3,4prime,6-Tetrachlorobiphenyl",4.32734245,23.41626622,-73.61829784,-0.001791,0.317453,5.76
"2,3,5,6-Tetrachlorobiphenyl",4.22911502,23.57987827,-73.00024884,-0.001678,0.319013,5.96
"2,3prime,4,4prime-Tetrachlorobiphenyl",4.70249866,20.74529206,-76.47763717,0.010049,0.29923,5.98
"2,3prime,4,5-Tetrachlorobiphenyl",4.6048072,21.17799232,-75.72448984,0.010915,0.301156,6.32
"2,3prime,4,6-Tetrachlorobiphenyl",4.30170251,22.41838777,-73.24336058,0.000913,0.320791,6.03
"2,3prime,4prime,5prime-Tetrachlorobiphenyl",4.61089176,20.78396819,-75.98832661,0.008879,0.303486,5.98
"2,3prime,4prime,6-Tetrachlorobiphenyl",4.3634942,22.30392731,-73.66211006,-0.009867,0.327105,5.76
"2,4,4prime,5-Tetrachlorobiphenyl",4.61144447,22.05347767,-75.80522688,0.010879,0.296694,6.1
"2,4,4prime,6-Tetrachlorobiphenyl",4.3665329,23.33804267,-73.7316875,-0.006418,0.32775,6.03
"2,2prime,3,3prime,6-Pentachlorobiphenyl",4.1863772,22.24096911,-73.09918057,0.000114,0.315717,5.6
"2,2prime,3,4,4prime-Pentachlorobiphenyl",4.40059839,23.01820571,-74.66038258,0.005817,0.314604,6.18
"2,2prime,3,4,5-Pentachlorobiphenyl",4.30228294,23.07890773,-74.14628918,0.005106,0.312777,6.38
"2,2prime,3,4,5prime-Pentachlorobiphenyl",4.40262218,21.79648336,-74.63270806,0.005705,0.311786,6.23
"2,2prime,3,4,6-Pentachlorobiphenyl",4.31767014,23.15353137,-74.20359793,0.003114,0.315143,6.5
"2,2prime,3,4,6prime-Pentachlorobiphenyl",4.42151715,21.99405263,-74.56845909,-0.002507,0.322795,5.6
"2,2prime,3,4prime,5-Pentachlorobiphenyl",4.35740265,23.11142997,-74.58998871,0.007244,0.311239,6.32
"2,2prime,3,4prime,5prime-Pentachlorobiphenyl",4.33063547,22.0830543,-73.89932732,0.006335,0.311342,6.3
"2,2prime,3,4prime,6-Pentachlorobiphenyl",4.3638865,23.16947108,-74.59224525,0.002647,0.314736,5.87
